@relation R_data_frame

@attribute Variance {1,2,3,4}
@attribute Skewness {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}
@attribute Curtosis {1,2,3,4,5,6}
@attribute Entropy {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15}
@attribute TRAIN_Y_DISCRETIZED {-1,1}

@data
1,11,3,1,1
4,1,4,9,1
4,1,4,3,1
4,1,3,3,1
1,11,4,1,1
2,23,4,1,1
2,1,4,1,1
2,1,4,1,1
3,7,4,3,1
4,17,2,1,1
2,11,4,1,1
4,13,2,1,1
4,13,2,1,1
4,23,2,1,1
1,23,4,1,1
4,1,3,3,1
3,5,4,7,1
4,1,4,11,1
4,7,2,3,1
4,1,4,9,1
4,7,2,3,1
4,11,3,1,1
4,1,3,3,1
3,1,4,9,1
3,21,2,1,1
4,1,4,3,1
3,23,3,1,1
3,13,2,1,1
4,11,2,1,1
1,23,4,1,1
4,13,2,1,1
4,1,3,3,1
3,1,5,3,1
4,21,2,1,1
3,1,4,3,1
4,21,2,1,1
3,11,3,1,1
1,23,4,1,1
4,1,4,11,1
1,23,4,1,1
4,23,2,1,1
2,11,2,1,1
3,9,3,1,1
3,7,4,3,1
4,21,2,1,1
1,23,3,1,1
3,5,3,1,1
4,1,3,5,1
2,7,4,1,1
4,1,4,11,1
4,7,3,1,1
3,1,5,1,1
3,9,3,7,1
4,1,4,3,1
2,1,3,3,1
2,11,4,1,1
2,11,4,1,1
2,7,4,1,1
4,1,3,9,1
2,11,3,3,1
3,1,4,9,1
4,1,4,13,1
4,1,4,15,1
3,15,2,1,1
4,1,4,9,1
4,23,2,1,1
3,1,4,3,1
2,1,5,3,1
3,1,5,1,1
1,23,4,1,1
2,1,5,7,1
4,21,2,1,1
2,13,3,1,1
3,7,3,5,1
3,1,5,1,1
2,23,4,1,1
2,23,2,1,1
4,1,3,3,1
4,1,5,3,1
3,7,3,1,1
3,7,4,3,1
4,11,2,1,1
3,19,2,1,1
4,21,2,1,1
3,13,2,1,1
2,7,4,1,1
4,7,2,3,1
4,1,3,11,1
4,1,4,13,1
3,23,3,1,1
4,21,2,1,1
4,1,3,3,1
3,7,3,3,1
3,1,3,3,1
4,1,3,7,1
4,23,2,1,1
4,1,4,9,1
4,1,4,11,1
4,11,2,1,1
3,13,3,1,1
3,7,3,3,1
4,23,2,1,1
3,1,4,3,1
4,1,4,11,1
3,13,2,1,1
3,11,3,1,1
4,13,2,1,1
1,23,4,1,1
4,1,3,11,1
1,23,3,1,1
3,5,4,3,1
4,13,2,1,1
2,7,4,1,1
3,17,3,1,1
2,9,4,1,1
4,7,2,3,1
4,11,3,1,1
4,21,2,1,1
4,1,4,14,1
2,1,3,3,1
4,9,3,3,1
1,1,5,3,1
3,1,4,3,1
4,17,2,1,1
3,11,4,1,1
4,1,3,13,1
4,11,2,1,1
4,7,2,1,1
4,13,2,1,1
3,11,4,1,1
4,1,3,5,1
3,7,3,1,1
4,1,4,9,1
1,23,4,1,1
4,23,2,1,1
4,1,4,3,1
4,1,4,9,1
2,1,5,7,1
2,1,4,1,1
3,7,3,3,1
4,5,3,3,1
3,1,4,3,1
3,1,5,3,1
4,1,3,3,1
4,7,3,1,1
4,11,2,1,1
3,11,3,1,1
4,7,2,3,1
4,1,3,9,1
2,13,3,1,1
4,1,4,7,1
4,1,4,9,1
4,23,2,1,1
4,7,2,3,1
3,1,4,3,1
1,23,4,1,1
3,5,4,7,1
4,1,4,7,1
4,9,3,1,1
4,7,3,3,1
3,13,2,1,1
2,1,4,1,1
3,1,4,3,1
2,5,4,3,1
3,11,3,1,1
4,11,3,1,1
4,1,4,13,1
4,7,2,3,1
4,23,2,1,1
4,1,4,9,1
2,9,4,1,1
4,11,2,1,1
3,1,5,1,1
4,1,4,3,1
2,1,5,7,1
3,1,4,1,1
4,1,3,9,1
4,1,4,14,1
4,5,3,3,1
4,23,2,1,1
2,23,3,1,1
4,1,3,9,1
4,1,4,1,1
3,13,2,1,1
4,1,4,3,1
4,1,4,14,1
4,1,3,9,1
4,17,2,1,1
4,21,2,1,1
4,1,4,1,1
4,1,5,3,1
3,5,3,3,1
4,1,3,9,1
4,1,4,3,1
3,1,4,9,1
4,23,2,1,1
2,1,5,7,1
1,23,3,1,1
4,23,2,1,1
3,1,4,11,1
3,11,3,1,1
4,11,3,1,1
4,11,2,1,1
4,3,3,7,1
3,1,5,1,1
4,1,3,7,1
3,1,4,1,1
4,23,2,1,1
4,13,2,1,1
3,13,2,1,1
4,11,3,1,1
2,21,3,1,1
4,1,4,1,1
3,1,4,1,1
3,13,2,1,1
4,11,2,1,1
1,23,3,1,1
4,1,4,7,1
3,1,5,1,1
2,9,3,1,1
4,1,4,1,1
3,11,3,1,1
3,11,2,1,1
2,11,2,1,1
3,11,3,1,1
4,1,4,11,1
3,1,5,1,1
3,1,4,3,1
1,1,5,3,1
4,5,3,9,1
4,11,3,1,1
3,7,4,3,1
4,23,1,1,1
3,11,3,1,1
4,1,4,3,1
3,7,4,7,1
4,1,4,3,1
4,23,2,1,1
4,1,3,3,1
1,21,3,1,1
3,11,3,1,1
2,23,3,1,1
4,23,1,1,1
4,1,3,9,1
2,17,4,1,1
4,13,2,1,1
2,1,5,7,1
4,1,3,11,1
4,9,3,3,1
2,15,2,1,1
4,9,3,1,1
2,11,2,1,1
3,1,3,3,1
2,11,4,1,1
4,1,4,3,1
4,1,4,14,1
4,11,3,3,1
4,11,2,1,1
4,1,4,7,1
3,7,3,3,1
3,1,4,3,1
4,1,4,7,1
4,1,4,1,1
3,1,4,9,1
4,1,4,9,1
4,1,4,9,1
4,7,2,3,1
3,1,4,1,1
3,1,5,3,1
4,11,3,3,1
4,9,3,3,1
4,1,4,3,1
4,1,3,3,1
3,7,4,3,1
4,1,3,9,1
2,9,4,1,1
4,1,4,3,1
4,7,3,1,1
3,23,3,1,1
4,1,4,5,1
3,7,4,3,1
2,17,3,1,1
4,1,4,3,1
4,1,4,3,1
4,1,4,3,1
4,23,2,1,1
2,23,4,1,1
2,11,2,1,1
3,1,5,1,1
3,1,4,3,1
4,1,4,9,1
2,9,3,1,1
4,13,2,1,1
4,1,4,3,1
4,5,2,9,1
3,7,3,3,1
2,1,4,1,1
4,1,4,14,1
4,1,4,3,1
2,1,4,1,1
3,1,4,3,1
3,13,2,1,1
2,7,3,1,1
2,11,3,1,1
2,17,2,1,1
3,1,4,3,1
3,7,3,1,1
4,1,3,3,1
3,1,4,3,1
4,1,4,3,1
4,1,4,7,1
1,23,4,1,1
4,11,2,1,1
2,11,3,1,1
4,7,3,1,1
4,1,4,1,1
2,1,4,1,1
4,23,2,1,1
3,15,3,1,1
3,1,4,3,1
2,23,3,1,1
3,11,3,1,1
4,9,3,3,1
4,1,4,3,1
4,23,2,1,1
4,7,2,3,1
4,23,2,1,1
4,1,4,11,1
4,9,2,3,1
4,1,4,9,1
4,1,3,11,1
4,1,4,3,1
4,5,3,3,1
3,1,5,1,1
4,9,2,3,1
4,4,4,3,1
4,11,2,1,1
2,1,4,1,1
4,7,2,3,1
3,1,4,11,1
4,11,2,1,1
3,11,4,1,1
4,11,2,1,1
4,1,4,1,1
2,11,4,1,1
1,21,3,1,1
2,1,3,3,1
2,1,5,1,1
4,21,2,1,1
3,13,3,1,1
1,23,4,1,1
4,1,4,3,1
4,1,4,3,1
2,13,4,1,1
4,11,2,1,1
3,17,3,1,1
3,1,5,3,1
1,23,3,1,1
4,1,4,3,1
3,19,3,1,1
4,1,3,11,1
4,11,2,1,1
3,1,4,3,1
2,11,3,1,1
3,1,5,1,1
3,1,4,3,1
4,1,4,9,1
3,11,3,1,1
2,7,3,1,1
4,1,5,5,1
3,1,4,11,1
4,1,3,11,1
4,21,2,1,1
4,1,4,3,1
4,1,3,11,1
2,13,4,1,1
4,1,4,11,1
3,5,3,3,1
2,2,3,1,-1
2,1,3,3,-1
1,1,5,9,-1
1,1,6,1,-1
1,1,4,11,-1
1,1,2,1,-1
2,1,2,1,-1
2,1,3,3,-1
1,1,5,1,-1
2,1,4,7,-1
2,1,3,3,-1
1,7,3,1,-1
1,1,3,1,-1
2,1,4,9,-1
1,1,5,3,-1
1,1,6,1,-1
1,1,4,3,-1
2,1,3,7,-1
2,4,2,1,-1
1,6,3,1,-1
1,1,4,3,-1
1,1,5,1,-1
2,1,4,7,-1
3,5,1,1,-1
1,11,3,1,-1
1,1,4,3,-1
1,1,4,9,-1
2,1,4,3,-1
2,1,2,5,-1
3,5,1,1,-1
3,5,1,1,-1
1,1,3,1,-1
1,1,4,3,-1
2,1,3,3,-1
3,3,2,1,-1
2,1,2,1,-1
1,3,3,1,-1
1,13,3,1,-1
1,3,3,1,-1
1,1,3,3,-1
1,1,3,1,-1
2,1,2,1,-1
2,1,2,1,-1
1,1,3,1,-1
1,1,3,1,-1
2,1,4,3,-1
1,1,6,1,-1
1,1,6,1,-1
1,5,3,1,-1
2,1,3,1,-1
2,1,5,3,-1
1,1,6,1,-1
1,1,6,1,-1
1,1,4,8,-1
1,1,3,1,-1
2,1,3,3,-1
1,1,5,7,-1
1,1,6,1,-1
1,1,5,7,-1
1,1,4,9,-1
1,1,2,1,-1
2,1,2,1,-1
2,1,3,2,-1
2,1,4,3,-1
1,1,5,1,-1
1,1,4,3,-1
2,1,3,3,-1
2,1,2,1,-1
1,8,3,1,-1
1,1,3,1,-1
2,1,4,7,-1
1,1,5,1,-1
1,1,6,1,-1
2,1,3,3,-1
1,7,3,1,-1
1,1,4,3,-1
1,1,5,1,-1
1,1,5,1,-1
2,1,4,7,-1
3,1,2,3,-1
2,5,1,1,-1
1,10,3,1,-1
1,1,4,3,-1
1,1,5,7,-1
1,1,4,3,-1
2,1,2,3,-1
3,5,1,1,-1
2,7,1,1,-1
1,14,3,1,-1
1,1,3,1,-1
1,1,4,3,-1
2,1,3,3,-1
2,5,2,1,-1
2,1,2,1,-1
1,5,3,1,-1
1,13,3,1,-1
1,5,3,1,-1
1,1,3,1,-1
2,1,2,1,-1
2,1,2,1,-1
1,1,3,1,-1
1,1,3,1,-1
1,1,5,1,-1
1,1,5,1,-1
1,5,3,1,-1
2,1,3,1,-1
1,1,5,3,-1
1,1,6,1,-1
1,1,6,1,-1
1,1,4,7,-1
2,1,3,1,-1
2,1,4,7,-1
2,1,5,11,-1
1,1,6,3,-1
2,1,3,13,-1
1,1,2,1,-1
2,1,3,1,-1
2,1,3,3,-1
1,1,5,3,-1
2,1,4,11,-1
2,1,3,7,-1
2,1,2,1,-1
1,7,3,1,-1
2,1,3,1,-1
2,1,4,9,-1
2,1,5,1,-1
1,1,6,1,-1
2,1,4,3,-1
2,1,3,3,-1
3,5,2,1,-1
1,5,3,1,-1
2,1,4,3,-1
1,1,5,1,-1
1,1,5,1,-1
2,1,4,9,-1
1,7,3,1,-1
1,1,4,3,-1
1,1,5,3,-1
2,1,4,3,-1
3,5,1,1,-1
3,5,1,1,-1
1,11,3,1,-1
1,1,3,1,-1
2,1,3,3,-1
3,1,2,3,-1
3,5,2,1,-1
2,1,2,1,-1
1,5,3,1,-1
1,11,3,1,-1
1,1,3,1,-1
1,1,3,3,-1
2,1,3,1,-1
2,1,2,1,-1
2,1,2,1,-1
2,1,3,1,-1
1,1,3,1,-1
2,1,4,3,-1
1,1,6,1,-1
1,1,6,3,-1
2,1,3,3,-1
1,1,5,7,-1
1,1,6,1,-1
1,1,6,3,-1
1,1,4,11,-1
1,5,3,1,-1
1,1,5,9,-1
1,1,4,13,-1
2,1,2,1,-1
2,1,4,9,-1
1,1,5,3,-1
2,1,4,9,-1
2,1,3,7,-1
2,1,2,1,-1
1,7,4,1,-1
1,1,3,1,-1
2,1,4,7,-1
1,1,5,3,-1
1,1,6,1,-1
2,1,4,3,-1
2,1,3,11,-1
2,5,2,1,-1
1,7,3,1,-1
1,1,4,3,-1
1,1,4,3,-1
1,1,5,1,-1
2,1,4,9,-1
3,1,2,3,-1
3,5,1,1,-1
1,11,3,1,-1
1,1,4,3,-1
1,1,4,9,-1
2,1,4,3,-1
3,1,3,9,-1
3,5,2,1,-1
2,7,1,1,-1
1,1,3,1,-1
1,1,4,3,-1
2,1,3,3,-1
3,1,2,3,-1
3,5,2,1,-1
2,1,2,1,-1
1,1,3,1,-1
1,13,3,1,-1
1,5,3,1,-1
1,1,3,3,-1
2,1,3,1,-1
2,1,2,1,-1
2,1,2,1,-1
1,1,3,1,-1
2,1,4,3,-1
1,1,5,1,-1
1,1,6,1,-1
1,5,3,1,-1
2,1,3,1,-1
1,1,5,3,-1
1,1,6,1,-1
1,1,6,1,-1
1,1,4,11,-1
2,1,4,7,-1
1,1,5,9,-1
1,1,6,1,-1
1,1,5,13,-1
1,1,2,1,-1
2,1,2,1,-1
2,1,3,3,-1
2,1,5,3,-1
1,1,5,3,-1
2,1,4,11,-1
2,1,3,7,-1
2,5,2,1,-1
1,9,3,1,-1
2,1,3,1,-1
2,1,4,9,-1
1,1,5,1,-1
1,1,6,1,-1
2,1,3,3,-1
2,5,2,1,-1
2,1,4,3,-1
1,1,5,1,-1
1,1,5,1,-1
3,5,2,1,-1
1,7,3,1,-1
1,1,4,7,-1
1,1,5,9,-1
2,1,4,9,-1
3,1,2,7,-1
2,7,1,1,-1
1,11,3,1,-1
1,1,3,3,-1
2,1,4,9,-1
2,1,3,7,-1
3,1,2,3,-1
3,5,2,1,-1
2,1,2,1,-1
1,5,3,1,-1
1,11,3,1,-1
1,1,3,3,-1
2,1,3,3,-1
2,1,2,1,-1
2,1,2,1,-1
1,1,3,1,-1
1,1,3,1,-1
1,1,6,1,-1
1,1,5,1,-1
1,5,3,1,-1
2,1,3,3,-1
1,1,5,3,-1
1,1,6,1,-1
1,1,5,1,-1
1,1,4,9,-1
2,1,3,1,-1
2,1,4,9,-1
2,1,5,9,-1
1,1,6,1,-1
1,1,5,11,-1
2,1,3,13,-1
1,1,2,1,-1
2,1,2,1,-1
2,1,3,7,-1
2,1,5,7,-1
2,1,5,3,-1
2,1,4,11,-1
2,1,3,9,-1
2,1,2,1,-1
1,7,3,1,-1
2,1,3,1,-1
2,1,4,11,-1
2,1,5,1,-1
1,1,6,1,-1
2,1,4,9,-1
2,1,3,9,-1
2,5,2,1,-1
1,5,3,1,-1
2,1,4,3,-1
1,1,5,1,-1
3,1,4,13,-1
3,1,2,3,-1
3,5,2,1,-1
1,7,3,1,-1
1,1,4,9,-1
1,1,5,9,-1
2,1,4,9,-1
3,1,2,9,-1
3,5,1,1,-1
3,5,1,1,-1
1,11,3,1,-1
1,1,3,1,-1
1,1,4,7,-1
2,1,3,5,-1
3,1,2,3,-1
3,5,2,1,-1
2,1,2,1,-1
1,11,3,1,-1
1,1,3,1,-1
1,1,3,3,-1
2,1,2,1,-1
2,1,2,1,-1
2,1,2,1,-1
1,1,3,1,-1
1,1,3,1,-1
2,1,4,3,-1
1,1,6,1,-1
1,1,6,3,-1
1,5,3,1,-1
2,1,3,3,-1
1,1,5,3,-1
1,1,6,1,-1
1,1,6,1,-1
1,5,3,1,-1
2,1,3,3,-1
1,1,5,9,-1
1,1,6,1,-1
1,1,5,9,-1
1,1,4,13,-1
1,1,2,1,-1
2,3,2,1,-1
2,1,3,3,-1
2,1,4,3,-1
2,1,2,1,-1
1,1,3,1,-1
2,1,4,7,-1
1,1,5,1,-1
1,1,6,1,-1
1,1,4,3,-1
2,1,3,9,-1
2,1,2,1,-1
1,5,3,1,-1
1,1,4,1,-1
1,1,5,1,-1
2,1,4,9,-1
3,1,2,3,-1
3,5,1,1,-1
1,11,3,1,-1
1,1,4,1,-1
1,1,4,3,-1
2,1,4,1,-1
3,1,2,3,-1
3,5,1,1,-1
3,5,1,1,-1
1,16,3,1,-1
1,1,3,1,-1
1,1,4,3,-1
2,1,3,3,-1
3,5,2,1,-1
2,1,2,1,-1
1,5,3,1,-1
1,13,3,1,-1
1,1,4,1,-1
1,1,3,3,-1
1,1,3,3,-1
2,1,2,1,-1
2,1,2,1,-1
1,1,3,1,-1
1,1,3,1,-1
1,1,4,3,-1
1,1,5,3,-1
1,1,6,3,-1
1,5,3,1,-1
2,1,3,1,-1
1,1,5,3,-1
1,1,6,1,-1
1,1,6,1,-1
1,1,4,9,-1
1,5,3,1,-1
1,1,5,7,-1
1,1,6,1,-1
1,1,5,3,-1
1,1,4,9,-1
1,1,2,1,-1
1,5,2,1,-1
2,1,3,1,-1
1,1,4,3,-1
1,1,5,1,-1
1,1,4,3,-1
2,1,3,3,-1
2,1,2,1,-1
1,9,3,1,-1
1,1,3,1,-1
1,1,4,3,-1
1,1,5,1,-1
1,1,6,1,-1
1,1,4,3,-1
1,7,3,1,-1
1,1,4,1,-1
1,1,5,1,-1
1,1,5,1,-1
2,1,4,3,-1
2,1,2,3,-1
2,5,1,1,-1
1,11,3,1,-1
1,1,4,1,-1
1,1,4,3,-1
1,1,4,1,-1
2,1,2,3,-1
3,5,1,1,-1
2,7,1,1,-1
1,19,3,1,-1
1,1,3,1,-1
1,1,4,3,-1
2,1,3,3,-1
2,1,2,1,-1
2,5,2,1,-1
2,5,2,1,-1
1,15,3,1,-1
1,5,3,1,-1
1,1,3,3,-1
1,1,3,1,-1
2,1,2,1,-1
2,1,2,1,-1
1,1,3,1,-1
1,1,3,1,-1
1,1,4,3,-1
1,1,5,1,-1
1,1,5,1,-1
2,1,3,1,-1
1,1,5,3,-1
1,1,6,1,-1
1,1,6,1,-1
1,1,4,7,-1
1,5,3,1,-1
2,1,3,3,-1
1,1,5,7,-1
1,1,6,1,-1
1,1,5,3,-1
1,1,4,11,-1
1,1,2,1,-1
1,5,2,1,-1
2,1,3,1,-1
1,1,4,3,-1
1,1,5,1,-1
2,1,3,3,-1
2,1,2,1,-1
1,1,3,1,-1
2,1,4,3,-1
1,1,6,1,-1
1,1,4,1,-1
2,1,3,3,-1
2,5,2,1,-1
1,7,3,1,-1
1,1,4,3,-1
1,1,5,1,-1
1,1,5,1,-1
2,1,4,3,-1
2,1,2,3,-1
2,5,1,1,-1
1,1,4,3,-1
1,1,4,3,-1
1,1,4,3,-1
2,1,3,7,-1
3,5,1,1,-1
2,7,1,1,-1
1,19,3,1,-1
1,1,3,1,-1
1,1,4,3,-1
2,1,3,3,-1
2,1,2,1,-1
2,5,2,1,-1
2,5,2,1,-1
1,5,3,1,-1
1,17,3,1,-1
1,1,4,1,-1
1,1,3,3,-1
1,1,3,1,-1
2,1,2,1,-1
2,1,2,1,-1
1,1,3,1,-1
1,1,3,1,-1
1,1,4,3,-1
1,1,5,1,-1
1,1,5,1,-1
1,5,3,1,-1
2,1,3,1,-1
1,1,4,3,-1
1,1,6,1,-1
1,1,6,1,-1
1,1,4,3,-1
2,3,3,1,-1
2,1,3,3,-1
2,1,5,11,-1
1,1,6,1,-1
1,1,5,9,-1
2,1,4,13,-1
2,1,2,1,-1
3,1,3,3,-1
2,1,4,7,-1
1,1,5,3,-1
2,1,4,9,-1
2,1,3,11,-1
2,1,2,1,-1
1,7,3,1,-1
2,1,3,1,-1
2,1,4,11,-1
1,1,6,1,-1
2,1,4,3,-1
3,5,2,1,-1
1,5,3,1,-1
2,1,4,3,-1
2,1,5,3,-1
1,1,5,1,-1
2,1,4,11,-1
3,1,2,9,-1
3,5,1,1,-1
1,11,3,1,-1
1,1,4,3,-1
1,1,4,11,-1
3,1,2,11,-1
3,5,1,1,-1
3,7,1,1,-1
1,13,3,1,-1
1,1,3,3,-1
2,1,4,9,-1
2,1,3,4,-1
3,1,2,3,-1
3,5,2,1,-1
2,1,2,1,-1
1,3,3,1,-1
1,13,3,1,-1
1,1,3,1,-1
2,1,3,3,-1
2,1,2,1,-1
2,1,2,1,-1
2,1,3,1,-1
1,1,3,1,-1
2,1,4,7,-1
1,1,5,3,-1
1,1,6,1,-1
1,5,3,1,-1
2,1,3,1,-1
1,1,6,1,-1
1,1,4,11,1
