@relation R_data_frame

@attribute Variance {1,2,3,4,5,6,7,8}
@attribute Skewness {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}
@attribute Curtosis {1,2,3,4,5,6}
@attribute Entropy {1,2,3}
@attribute TRAIN_Y_DISCRETIZED {-1,1}

@data
6,7,3,3,1
5,3,5,2,1
1,17,4,1,1
1,17,2,1,1
6,3,5,3,1
5,7,3,2,1
4,7,4,3,1
7,11,2,3,1
6,15,2,2,1
7,17,2,1,1
4,13,2,3,1
3,3,4,3,1
7,3,3,3,1
7,3,4,3,1
3,17,3,1,1
7,3,4,3,1
4,7,3,3,1
7,3,4,3,1
6,3,3,3,1
7,3,4,3,1
7,17,2,1,1
7,3,5,3,1
7,3,5,3,1
7,11,2,3,1
3,13,3,3,1
7,17,2,2,1
7,17,2,1,1
6,3,4,3,1
3,3,5,3,1
7,3,4,3,1
3,13,2,3,1
4,11,3,3,1
7,13,2,3,1
7,11,2,3,1
1,21,4,2,1
1,23,4,1,1
4,5,4,3,1
7,13,2,3,1
7,11,2,3,1
3,7,4,3,1
3,13,3,2,1
3,9,4,3,1
7,11,3,2,1
3,3,4,3,1
7,9,3,3,1
6,3,4,3,1
4,3,5,3,1
7,13,2,3,1
2,11,3,1,1
4,11,4,2,1
7,3,3,3,1
7,11,2,3,1
7,7,2,3,1
4,11,4,2,1
7,3,3,3,1
6,7,3,2,1
7,3,5,3,1
1,17,4,2,1
7,21,2,1,1
7,3,5,3,1
2,17,2,1,1
7,3,5,3,1
2,3,5,3,1
3,3,4,3,1
4,7,4,3,1
7,5,4,3,1
4,3,4,3,1
6,3,5,3,1
7,3,3,3,1
7,7,3,3,1
6,11,2,3,1
6,11,3,2,1
7,7,2,3,1
7,3,3,3,1
2,13,3,2,1
7,3,4,3,1
7,3,4,3,1
7,17,2,1,1
7,7,2,3,1
6,3,5,3,1
7,7,2,3,1
1,23,4,1,1
5,5,4,3,1
7,3,4,3,1
7,9,3,3,1
7,7,3,3,1
3,3,5,3,1
6,3,4,3,1
3,5,4,3,1
4,13,3,2,1
6,11,3,2,1
6,11,3,2,1
7,3,4,3,1
1,23,4,1,1
7,7,2,3,1
7,17,2,2,1
6,3,4,3,1
2,9,4,3,1
7,11,2,3,1
6,3,5,2,1
7,3,5,3,1
2,3,5,3,1
3,3,5,3,1
7,3,3,3,1
7,3,4,3,1
7,5,4,3,1
7,19,2,1,1
1,23,3,1,1
7,3,4,3,1
5,13,2,3,1
7,3,5,3,1
6,7,4,2,1
7,3,4,3,1
7,3,4,3,1
7,13,2,3,1
7,17,2,1,1
7,3,5,3,1
6,5,4,3,1
5,11,3,2,1
7,3,4,3,1
7,3,5,3,1
7,21,1,1,1
2,3,5,3,1
1,23,4,1,1
7,19,2,1,1
6,3,5,3,1
5,11,3,2,1
7,11,2,2,1
7,5,4,3,1
6,3,5,3,1
7,3,4,3,1
6,3,5,3,1
7,17,1,1,1
7,13,2,3,1
7,11,3,2,1
3,17,3,1,1
7,3,5,3,1
6,3,5,3,1
4,13,2,3,1
7,11,2,3,1
7,3,4,3,1
6,3,5,3,1
3,9,4,3,1
7,3,5,3,1
5,11,3,2,1
5,11,2,2,1
2,11,2,2,1
4,11,2,3,1
7,3,4,3,1
5,3,5,2,1
4,3,5,3,1
1,3,5,3,1
7,5,3,3,1
7,11,3,2,1
3,7,4,3,1
7,17,1,1,1
7,3,4,3,1
4,7,4,3,1
7,3,4,3,1
1,17,3,1,1
4,11,3,3,1
7,17,1,1,1
7,5,3,3,1
7,7,2,3,1
2,13,4,1,1
7,13,1,1,1
2,3,5,3,1
7,3,4,3,1
6,9,3,3,1
2,13,2,1,1
7,9,3,3,1
6,5,3,3,1
3,11,4,2,1
7,3,5,3,1
7,3,4,3,1
7,3,3,3,1
7,11,3,3,1
7,11,2,3,1
7,3,4,3,1
6,7,4,3,1
6,3,5,3,1
7,3,4,3,1
7,3,5,3,1
7,5,4,3,1
6,3,5,3,1
7,3,5,3,1
7,3,4,3,1
8,7,2,3,1
6,3,4,3,1
6,3,5,3,1
7,11,3,3,1
7,9,3,3,1
7,3,4,3,1
7,3,3,3,1
4,7,4,3,1
7,3,3,3,1
3,9,4,3,1
7,3,4,3,1
7,7,3,3,1
4,17,3,1,1
7,3,4,3,1
2,3,5,3,1
3,13,3,2,1
7,3,5,3,1
7,3,4,3,1
7,3,5,3,1
7,3,4,3,1
7,17,2,1,1
1,17,4,2,1
2,11,2,2,1
4,3,5,3,1
6,3,4,3,1
7,3,4,3,1
2,9,4,3,1
7,13,2,3,1
7,3,4,3,1
7,5,2,3,1
6,7,4,3,1
2,3,5,3,1
3,3,4,3,1
7,3,4,3,1
7,3,5,3,1
3,3,5,3,1
6,3,5,3,1
1,21,5,1,1
5,13,2,3,1
2,7,3,3,1
3,11,3,3,1
3,13,2,1,1
6,3,4,3,1
3,7,3,3,1
7,3,4,3,1
7,3,5,3,1
7,3,5,3,1
1,17,4,1,1
7,11,2,3,1
3,7,4,3,1
2,11,3,3,1
7,3,4,3,1
7,7,2,3,1
3,3,4,3,1
7,21,2,1,1
5,13,2,2,1
3,3,4,3,1
3,17,3,1,1
5,11,3,2,1
7,9,3,3,1
7,3,5,3,1
7,17,2,1,1
7,7,2,3,1
7,17,1,1,1
7,3,5,3,1
4,5,4,3,1
7,9,2,3,1
7,3,4,3,1
7,3,4,3,1
7,3,5,3,1
7,5,2,3,1
7,5,3,3,1
6,3,4,3,1
5,3,5,2,1
7,9,2,3,1
7,17,2,1,1
6,5,4,3,1
7,11,2,3,1
7,11,3,2,1
7,7,2,3,1
5,3,5,3,1
7,3,3,3,1
2,3,5,3,1
7,11,2,3,1
3,11,4,3,1
7,3,4,3,1
2,11,4,1,1
3,3,4,3,1
2,3,5,3,1
7,17,2,2,1
4,13,3,2,1
1,23,4,1,1
7,3,4,3,1
7,3,4,3,1
2,13,4,1,1
7,11,2,3,1
6,3,5,3,1
1,23,4,1,1
7,3,4,3,1
3,15,3,3,1
7,3,3,3,1
7,11,2,3,1
3,3,4,3,1
7,11,2,3,1
2,11,4,3,1
3,3,5,3,1
4,3,5,3,1
6,11,3,2,1
3,7,3,3,1
7,3,3,3,1
7,17,2,1,1
7,3,4,3,1
7,3,3,3,1
7,3,4,3,1
6,5,3,3,1
1,5,3,2,-1
1,2,5,3,-1
1,1,6,3,-1
1,1,5,3,-1
1,3,4,3,-1
2,4,2,2,-1
3,3,3,3,-1
2,3,5,3,-1
1,1,5,3,-1
1,3,5,3,-1
2,3,3,3,-1
2,3,2,2,-1
1,7,4,1,-1
1,3,3,2,-1
2,3,4,3,-1
1,1,5,3,-1
1,3,5,3,-1
2,3,3,3,-1
3,5,1,1,-1
1,6,3,1,-1
1,3,4,3,-1
1,3,5,3,-1
1,1,5,2,-1
2,3,4,3,-1
4,3,2,3,-1
4,5,1,1,-1
1,11,3,1,-1
1,3,4,3,-1
1,3,5,3,-1
1,3,5,3,-1
3,3,2,3,-1
5,5,1,2,-1
3,5,1,1,-1
1,13,3,1,-1
1,3,4,3,-1
2,3,3,3,-1
3,3,2,3,-1
4,5,2,3,-1
2,3,2,2,-1
1,5,3,2,-1
1,5,4,3,-1
1,3,4,3,-1
1,3,3,3,-1
2,3,2,3,-1
2,3,2,3,-1
1,3,3,3,-1
1,3,3,2,-1
1,3,4,3,-1
1,3,6,3,-1
1,3,6,3,-1
1,5,3,3,-1
3,3,3,3,-1
1,3,5,3,-1
1,1,6,2,-1
1,1,6,3,-1
1,3,4,3,-1
2,3,3,3,-1
1,3,5,3,-1
1,1,6,3,-1
1,1,5,3,-1
2,3,3,3,-1
1,3,5,3,-1
1,1,5,3,-1
2,3,3,3,-1
2,3,2,2,-1
1,8,4,1,-1
1,3,3,2,-1
1,3,4,3,-1
1,1,6,2,-1
1,3,5,3,-1
2,3,3,3,-1
2,5,1,1,-1
1,7,3,1,-1
1,3,4,3,-1
1,1,5,3,-1
1,1,5,2,-1
3,3,2,3,-1
3,5,1,1,-1
1,10,3,1,-1
1,3,4,3,-1
1,3,5,3,-1
1,3,5,3,-1
3,3,2,3,-1
4,5,1,2,-1
3,7,1,1,-1
1,13,3,1,-1
1,3,3,3,-1
1,3,4,3,-1
1,3,3,3,-1
3,3,2,3,-1
3,5,2,2,-1
2,5,2,2,-1
1,5,3,1,-1
1,13,3,1,-1
1,5,4,3,-1
1,3,4,3,-1
2,3,2,3,-1
2,3,2,3,-1
1,3,3,3,-1
1,3,3,2,-1
1,3,4,3,-1
1,3,6,3,-1
1,5,3,2,-1
1,3,5,3,-1
1,1,6,2,-1
1,1,6,3,-1
1,3,4,3,-1
2,3,3,3,-1
2,3,4,3,-1
1,1,5,3,-1
1,1,6,3,-1
1,3,5,3,-1
1,5,2,2,-1
2,3,2,2,-1
3,3,4,3,-1
2,1,5,3,-1
1,1,5,3,-1
2,3,5,3,-1
2,3,3,3,-1
2,3,2,2,-1
1,7,3,1,-1
1,3,3,3,-1
2,3,5,3,-1
1,1,5,3,-1
1,1,6,2,-1
2,3,5,3,-1
3,3,3,3,-1
3,5,1,1,-1
1,5,3,1,-1
1,3,4,3,-1
1,1,5,3,-1
1,1,5,2,-1
3,3,4,3,-1
6,3,2,3,-1
4,5,1,1,-1
1,7,3,1,-1
1,3,5,3,-1
1,3,5,3,-1
2,3,5,3,-1
5,3,2,3,-1
6,5,1,2,-1
4,5,1,1,-1
1,3,4,3,-1
5,3,2,3,-1
5,5,2,2,-1
2,5,2,2,-1
1,5,3,1,-1
1,11,4,2,-1
1,3,4,3,-1
1,3,4,3,-1
2,3,2,3,-1
3,3,2,3,-1
1,3,3,3,-1
1,3,3,3,-1
1,3,5,3,-1
1,1,6,3,-1
1,3,6,3,-1
1,5,3,3,-1
3,3,3,3,-1
1,3,5,3,-1
1,1,6,2,-1
1,3,6,3,-1
1,3,4,3,-1
1,5,3,2,-1
2,3,3,3,-1
1,3,5,3,-1
1,1,6,3,-1
1,3,4,3,-1
1,3,2,2,-1
1,5,2,2,-1
2,3,5,3,-1
2,3,3,3,-1
2,3,2,2,-1
1,5,3,2,-1
2,3,4,3,-1
1,1,5,3,-1
1,1,6,2,-1
1,3,5,3,-1
2,3,3,3,-1
1,7,3,1,-1
1,3,4,3,-1
1,3,5,3,-1
1,1,5,2,-1
2,3,4,3,-1
5,3,2,3,-1
4,5,1,1,-1
1,11,3,1,-1
1,3,4,3,-1
1,3,5,3,-1
1,3,5,3,-1
3,3,2,3,-1
5,5,1,2,-1
3,7,1,1,-1
1,13,3,1,-1
1,3,3,3,-1
1,3,4,3,-1
2,3,3,3,-1
3,5,2,3,-1
2,5,2,2,-1
1,5,3,2,-1
1,5,4,3,-1
1,3,3,3,-1
1,3,3,3,-1
2,3,2,3,-1
2,3,2,3,-1
1,3,3,3,-1
1,3,4,3,-1
1,3,6,3,-1
1,3,6,3,-1
2,3,3,3,-1
1,3,5,3,-1
1,1,6,2,-1
1,1,6,3,-1
1,3,4,3,-1
2,3,3,3,-1
2,3,4,3,-1
1,1,5,3,-1
1,1,6,3,-1
1,3,5,3,-1
1,3,4,3,-1
1,5,2,2,-1
2,3,2,2,-1
2,3,4,3,-1
2,1,5,3,-1
1,1,5,3,-1
2,3,5,3,-1
2,3,3,3,-1
2,5,2,2,-1
1,9,3,1,-1
1,3,3,3,-1
1,1,5,3,-1
1,1,6,2,-1
2,3,5,3,-1
2,3,3,3,-1
2,5,1,1,-1
1,5,3,2,-1
1,3,4,3,-1
1,1,5,3,-1
1,1,5,3,-1
2,3,4,3,-1
5,3,2,3,-1
3,5,1,1,-1
1,7,4,1,-1
1,3,4,3,-1
1,3,5,3,-1
2,3,5,3,-1
4,3,2,3,-1
3,7,1,1,-1
1,11,3,1,-1
1,3,4,3,-1
1,3,4,3,-1
2,3,3,3,-1
4,3,2,3,-1
4,5,2,2,-1
2,3,2,2,-1
1,5,3,1,-1
1,11,4,2,-1
1,3,4,3,-1
1,3,4,3,-1
2,3,2,3,-1
2,3,2,3,-1
1,3,3,3,-1
1,3,3,3,-1
1,3,5,3,-1
1,1,6,3,-1
1,3,6,3,-1
1,5,3,3,-1
2,3,3,3,-1
1,3,5,3,-1
1,1,6,2,-1
1,3,6,3,-1
1,3,4,3,-1
2,3,3,3,-1
3,3,4,3,-1
1,1,5,3,-1
1,1,6,3,-1
1,3,5,3,-1
1,3,4,3,-1
1,5,2,2,-1
2,3,2,2,-1
2,1,5,3,-1
1,1,5,3,-1
2,3,5,3,-1
2,3,3,3,-1
2,5,2,2,-1
1,3,3,3,-1
2,3,5,3,-1
1,1,5,3,-1
1,1,6,2,-1
2,3,5,3,-1
3,3,3,3,-1
3,5,1,1,-1
1,5,3,1,-1
1,3,4,3,-1
1,1,5,3,-1
1,1,5,3,-1
3,3,4,3,-1
6,3,2,3,-1
4,5,1,1,-1
1,7,4,1,-1
1,3,5,3,-1
1,3,5,3,-1
2,3,5,3,-1
5,3,2,3,-1
3,5,1,1,-1
1,11,3,1,-1
1,3,4,3,-1
1,3,4,3,-1
2,3,3,3,-1
4,3,2,3,-1
5,5,2,3,-1
2,3,2,2,-1
1,11,3,2,-1
1,3,4,3,-1
1,3,4,3,-1
2,3,2,3,-1
2,3,2,3,-1
2,3,2,3,-1
1,3,3,3,-1
1,3,3,3,-1
1,3,5,3,-1
1,1,6,3,-1
1,3,6,3,-1
1,5,3,3,-1
3,3,3,3,-1
1,3,5,3,-1
1,1,6,2,-1
1,1,6,3,-1
1,3,4,3,-1
1,5,3,2,-1
2,3,3,3,-1
1,1,5,3,-1
1,1,6,3,-1
1,1,5,3,-1
1,3,4,3,-1
1,3,2,2,-1
1,5,2,2,-1
2,3,3,3,-1
1,3,5,3,-1
1,1,5,3,-1
1,3,5,3,-1
2,3,3,3,-1
2,3,2,2,-1
1,9,4,1,-1
1,3,3,2,-1
1,3,4,3,-1
1,1,5,3,-1
1,1,6,2,-1
1,3,5,3,-1
2,3,3,3,-1
3,5,1,1,-1
1,5,3,1,-1
1,3,4,3,-1
1,1,5,2,-1
2,3,4,3,-1
4,3,2,3,-1
4,5,1,1,-1
1,11,3,1,-1
1,3,4,3,-1
1,3,5,3,-1
1,3,5,3,-1
3,3,2,3,-1
5,5,1,2,-1
3,5,1,1,-1
1,13,3,1,-1
1,3,4,3,-1
2,3,3,3,-1
2,3,2,2,-1
1,5,3,1,-1
1,13,3,1,-1
1,3,4,3,-1
1,3,4,3,-1
1,3,3,3,-1
2,3,2,3,-1
2,3,2,3,-1
1,3,3,3,-1
1,3,3,2,-1
1,3,4,3,-1
1,3,6,3,-1
1,3,6,3,-1
1,5,3,2,-1
2,3,3,3,-1
1,3,5,3,-1
1,1,6,2,-1
1,1,6,3,-1
1,3,4,3,-1
1,5,3,2,-1
2,3,3,3,-1
1,3,5,3,-1
1,1,6,3,-1
1,1,5,3,-1
1,3,4,3,-1
1,3,2,2,-1
1,5,2,1,-1
2,3,3,3,-1
1,3,5,3,-1
1,1,5,3,-1
1,3,5,3,-1
2,3,3,3,-1
2,3,2,2,-1
1,9,4,1,-1
1,5,3,2,-1
1,3,4,3,-1
1,1,5,3,-1
1,1,6,2,-1
2,3,3,3,-1
1,7,3,1,-1
1,3,4,3,-1
1,3,5,3,-1
1,1,5,2,-1
2,3,4,3,-1
3,3,2,3,-1
3,5,1,1,-1
1,11,3,1,-1
1,3,4,3,-1
1,3,5,3,-1
3,3,2,3,-1
5,5,1,2,-1
3,7,1,1,-1
1,3,4,3,-1
1,3,4,3,-1
1,3,3,3,-1
3,3,2,3,-1
2,5,2,2,-1
1,5,3,1,-1
1,13,3,1,-1
1,5,4,3,-1
1,3,4,3,-1
1,3,3,3,-1
2,3,2,3,-1
2,3,2,3,-1
1,3,3,3,-1
1,3,3,2,-1
1,3,5,3,-1
1,3,6,3,-1
1,5,3,2,-1
2,3,3,3,-1
1,3,5,3,-1
1,1,6,2,-1
1,3,4,3,-1
1,5,3,2,-1
2,3,3,3,-1
1,1,6,3,-1
1,1,5,3,-1
1,3,4,3,-1
1,3,2,2,-1
1,5,2,1,-1
2,3,3,3,-1
1,3,5,3,-1
1,1,5,3,-1
1,3,5,3,-1
2,5,2,2,-1
1,9,4,1,-1
1,3,3,2,-1
1,3,4,3,-1
1,1,5,3,-1
1,1,6,2,-1
2,3,3,3,-1
2,5,1,1,-1
1,7,3,1,-1
1,3,4,3,-1
1,1,5,3,-1
1,1,5,2,-1
2,3,4,3,-1
3,3,2,3,-1
1,11,3,1,-1
1,3,4,3,-1
1,3,5,3,-1
1,3,5,3,-1
2,3,2,3,-1
4,5,1,2,-1
3,7,1,1,-1
1,15,3,1,-1
1,3,4,3,-1
1,3,3,3,-1
3,5,2,2,-1
2,5,2,2,-1
1,5,3,1,-1
1,13,3,1,-1
1,5,4,3,-1
1,3,4,3,-1
1,3,3,3,-1
2,3,2,3,-1
2,3,2,3,-1
1,3,3,3,-1
1,3,3,2,-1
1,3,4,3,-1
1,3,5,3,-1
1,3,5,3,-1
1,5,3,2,-1
1,3,5,3,-1
1,1,6,2,-1
1,3,4,3,-1
2,5,3,2,-1
3,3,3,3,-1
1,1,5,3,-1
1,1,6,3,-1
1,1,5,3,-1
1,3,4,3,-1
1,3,2,2,-1
2,3,2,2,-1
3,3,3,3,-1
2,3,5,3,-1
1,1,5,3,-1
2,3,5,3,-1
2,3,3,3,-1
2,3,2,2,-1
1,7,4,1,-1
1,3,3,2,-1
2,3,4,3,-1
1,1,5,3,-1
2,1,5,3,-1
3,3,3,3,-1
4,5,1,2,-1
1,5,3,1,-1
1,1,5,3,-1
1,1,5,3,-1
3,3,4,3,-1
5,3,2,3,-1
1,11,3,1,-1
1,3,4,3,-1
1,3,5,3,-1
2,3,5,3,-1
6,5,1,2,-1
4,7,1,1,-1
1,13,3,1,-1
1,3,4,3,-1
1,3,4,3,-1
2,3,3,3,-1
4,3,2,3,-1
5,5,2,3,-1
2,5,2,2,-1
1,5,3,2,-1
1,13,3,2,-1
1,3,4,3,-1
1,3,4,3,-1
2,3,3,3,-1
2,3,2,3,-1
2,3,2,3,-1
1,3,3,3,-1
1,3,3,3,-1
1,3,6,3,-1
1,3,6,3,-1
1,5,3,3,-1
3,3,3,3,-1
1,3,5,3,-1
1,1,6,2,-1
1,1,6,3,-1
1,3,4,3,1
