@relation R_data_frame

@attribute Variance {1,2,3,4,5,6,7,8,9}
@attribute Skewness {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18}
@attribute Curtosis {1,2,3,4,5}
@attribute Entropy {1,2,3,4}
@attribute TRAIN_Y_DISCRETIZED {-1,1}

@data
7,15,1,1,1
6,3,3,3,1
7,5,2,3,1
1,17,2,1,1
1,7,1,2,1
7,7,2,2,1
7,1,3,4,1
9,7,1,3,1
1,15,3,1,1
7,1,3,3,1
3,13,1,1,1
6,7,2,3,1
7,3,2,4,1
7,7,1,3,1
7,11,1,2,1
7,1,3,3,1
7,11,1,1,1
7,15,1,1,1
7,7,1,2,1
6,3,3,3,1
9,5,1,4,1
6,5,2,3,1
6,3,4,3,1
3,15,1,1,1
1,17,3,1,1
7,7,2,3,1
6,3,4,3,1
7,15,1,1,1
3,5,3,3,1
6,5,3,3,1
6,3,3,3,1
1,15,1,1,1
7,1,3,3,1
7,3,2,4,1
3,3,4,4,1
1,17,3,1,1
7,3,3,3,1
4,1,4,3,1
7,5,2,3,1
7,3,3,3,1
3,13,3,1,1
7,1,3,4,1
7,3,3,4,1
7,7,2,3,1
3,3,4,3,1
6,5,3,3,1
7,7,2,3,1
7,13,1,2,1
7,1,3,3,1
7,3,3,4,1
7,1,3,3,1
6,7,1,2,1
6,15,1,1,1
6,11,2,2,1
7,5,1,4,1
7,15,1,1,1
7,1,3,4,1
7,1,3,3,1
7,7,2,3,1
7,3,2,4,1
7,3,3,3,1
7,7,1,3,1
7,5,2,3,1
7,7,2,2,1
7,7,1,2,1
7,7,2,3,1
6,5,3,3,1
3,15,2,2,1
7,15,1,1,1
6,1,3,3,1
7,3,2,4,1
7,15,1,1,1
7,15,1,1,1
7,3,3,4,1
7,7,2,3,1
7,3,2,4,1
7,7,1,3,1
7,1,2,3,1
6,1,4,2,1
6,7,1,2,1
7,7,2,1,1
3,1,4,3,1
7,1,3,3,1
7,1,3,3,1
3,1,4,3,1
3,15,1,1,1
7,1,4,3,1
6,1,4,2,1
6,15,1,1,1
4,5,3,3,1
7,7,2,2,1
1,17,2,1,1
7,7,1,3,1
7,3,3,3,1
7,3,3,3,1
7,7,2,2,1
3,7,1,1,1
6,7,2,2,1
6,3,3,3,1
7,9,1,2,1
3,1,3,3,1
7,7,2,3,1
7,9,1,2,1
1,17,3,1,1
7,15,1,1,1
6,15,1,2,1
3,11,1,1,1
6,1,4,2,1
7,1,3,3,1
7,1,3,3,1
6,3,3,3,1
7,7,1,2,1
6,7,1,3,1
3,1,3,3,1
7,7,2,2,1
6,1,4,2,1
7,3,3,3,1
6,1,3,3,1
7,13,1,1,1
1,3,4,4,1
7,15,1,1,1
7,3,3,4,1
7,3,2,4,1
3,1,4,2,1
7,13,1,1,1
7,7,2,3,1
7,5,3,3,1
6,3,3,3,1
7,3,3,3,1
7,3,3,4,1
7,7,1,3,1
7,3,3,3,1
7,1,3,4,1
7,5,2,3,1
6,3,3,3,1
6,7,3,3,1
7,7,2,3,1
7,7,1,3,1
7,3,2,4,1
6,15,1,1,1
7,7,1,3,1
1,7,1,2,1
7,3,3,3,1
7,3,3,3,1
1,7,3,3,1
3,15,3,1,1
6,1,3,3,1
3,1,3,3,1
6,7,3,3,1
7,13,1,1,1
3,7,3,1,1
7,9,1,3,1
7,9,1,3,1
7,15,1,1,1
1,17,3,1,1
7,1,3,3,1
7,5,2,3,1
7,5,3,3,1
7,3,3,4,1
7,7,1,3,1
7,3,3,4,1
7,7,2,2,1
7,5,2,3,1
7,3,3,3,1
7,15,1,1,1
7,1,3,3,1
6,17,1,1,1
6,15,1,1,1
7,7,1,2,1
7,9,1,1,1
7,3,2,3,1
6,3,4,3,1
7,15,1,1,1
6,3,3,3,1
7,15,1,1,1
6,15,1,1,1
1,17,3,1,1
7,1,3,4,1
1,17,3,1,1
7,7,2,2,1
6,7,3,3,1
7,15,1,1,1
1,17,2,1,1
7,5,2,3,1
3,7,3,2,1
7,3,3,4,1
7,7,2,2,1
6,1,4,3,1
7,1,4,3,1
7,7,2,3,1
7,1,3,3,1
3,3,2,3,1
6,7,3,2,1
3,7,3,1,1
3,7,3,3,1
7,3,2,4,1
7,3,3,4,1
7,3,3,4,1
7,15,1,1,1
7,1,3,4,1
7,11,1,2,1
7,1,3,4,1
7,17,1,1,1
6,3,3,3,1
7,1,4,2,1
1,17,3,1,1
3,3,4,3,1
7,15,1,1,1
3,9,2,1,1
7,7,2,3,1
7,1,4,2,1
1,15,3,1,1
3,15,1,1,1
7,1,2,3,1
7,1,4,3,1
6,7,2,2,1
6,7,3,3,1
7,7,1,2,1
7,13,1,2,1
7,15,1,1,1
6,9,1,3,1
3,3,2,3,1
6,7,3,3,1
7,7,1,3,1
6,15,1,1,1
7,15,1,1,1
7,5,2,3,1
6,7,2,3,1
7,1,3,3,1
7,5,2,3,1
7,5,2,3,1
7,15,1,1,1
7,1,3,4,1
7,1,3,4,1
6,9,1,2,1
7,15,1,1,1
6,7,2,3,1
7,15,1,1,1
7,3,3,3,1
6,5,3,3,1
7,1,3,4,1
6,7,1,2,1
7,9,1,3,1
7,7,1,3,1
1,17,3,1,1
7,1,2,4,1
1,17,2,1,1
6,5,3,3,1
7,9,1,3,1
3,7,3,3,1
4,7,3,3,1
7,7,1,3,1
7,15,1,1,1
7,3,3,4,1
3,3,2,3,1
7,7,2,3,1
1,3,4,3,1
7,3,3,3,1
6,1,4,3,1
7,13,1,3,1
3,7,2,1,1
6,7,3,2,1
7,3,2,4,1
7,7,1,2,1
7,7,1,3,1
7,9,1,3,1
6,7,3,2,1
7,5,2,3,1
7,7,2,2,1
7,1,3,3,1
1,15,3,1,1
7,17,1,1,1
7,1,4,3,1
3,15,1,1,1
7,1,3,4,1
3,1,4,3,1
6,3,3,3,1
6,7,2,3,1
7,5,2,3,1
6,3,3,3,1
7,1,4,3,1
7,3,2,3,1
7,7,2,3,1
7,7,1,2,1
7,7,2,1,1
7,7,1,3,1
7,1,2,4,1
3,9,2,2,1
7,3,3,3,1
7,15,1,1,1
9,7,1,3,1
7,3,3,3,1
9,7,1,3,1
1,17,3,1,1
7,5,3,3,1
7,1,3,3,1
7,7,2,3,1
6,9,1,1,1
6,3,3,3,1
7,1,3,3,1
3,5,3,3,1
7,7,1,1,1
7,7,2,2,1
7,3,3,4,1
3,17,2,1,1
7,7,1,3,1
7,3,3,3,1
3,7,3,3,1
7,3,3,3,1
3,1,4,3,1
6,3,4,2,1
7,3,2,4,1
7,3,3,4,1
7,5,2,3,1
7,15,1,1,1
1,17,2,1,1
7,3,2,4,1
6,9,1,3,1
7,1,3,3,1
7,7,2,2,1
7,3,3,4,1
7,13,1,2,1
7,15,1,1,1
7,1,4,3,1
7,5,2,3,1
7,3,2,4,1
7,1,3,3,1
7,1,3,4,1
7,17,1,1,1
3,1,4,3,1
1,17,2,1,1
7,15,1,1,1
7,3,3,4,1
6,7,2,2,1
7,7,2,2,1
7,7,1,2,1
7,5,2,3,1
7,1,4,3,1
7,3,2,3,1
7,1,3,2,1
7,15,1,1,1
7,9,1,2,1
6,9,1,3,1
7,7,2,2,1
3,15,2,1,1
7,1,3,3,1
7,1,3,3,1
7,7,1,2,1
1,17,2,1,1
7,3,3,3,1
7,1,4,3,1
3,7,2,3,1
7,1,3,3,1
6,7,2,2,1
6,7,1,2,1
3,7,1,2,1
6,7,1,2,1
7,1,3,4,1
6,1,4,2,1
6,3,3,3,1
1,3,4,3,1
7,5,1,4,1
7,7,2,2,1
6,7,3,3,1
7,15,1,1,1
6,7,2,1,1
7,1,3,3,1
6,7,3,3,1
7,3,3,3,1
7,15,1,1,1
7,5,2,3,1
1,15,1,1,1
1,17,2,1,1
7,15,1,1,1
7,5,1,4,1
7,7,1,3,1
3,13,3,1,1
7,9,1,1,1
3,3,4,3,1
7,3,2,4,1
7,7,2,3,1
3,11,1,1,1
7,7,1,3,1
3,7,1,2,1
7,5,2,3,1
6,7,3,1,1
7,1,3,3,1
7,3,3,4,1
7,1,2,4,1
7,7,1,3,1
7,7,1,2,1
7,1,3,3,1
7,7,2,3,1
7,3,3,3,1
7,1,3,2,1
7,5,2,3,1
7,3,3,3,1
7,1,3,4,1
7,1,3,3,1
9,7,1,3,1
7,1,3,3,1
7,1,4,3,1
7,7,1,3,1
7,7,2,3,1
7,1,3,3,1
7,1,2,3,1
6,7,3,3,1
7,3,2,4,1
3,7,3,3,1
7,1,3,3,1
7,7,2,3,1
6,15,1,1,1
7,3,3,3,1
6,7,3,3,1
3,1,4,3,1
3,13,2,2,1
7,1,4,3,1
7,1,3,3,1
7,1,4,3,1
7,5,3,3,1
7,15,1,1,1
3,15,3,2,1
3,7,1,2,1
6,1,4,2,1
7,3,3,3,1
7,1,3,4,1
7,1,3,3,1
7,7,2,3,1
6,3,4,3,1
3,1,4,3,1
6,3,3,3,1
7,1,3,3,1
6,1,3,3,1
7,1,3,3,1
1,17,3,1,1
6,9,1,3,1
3,7,2,3,1
3,7,2,2,1
3,13,1,1,1
7,3,3,3,1
7,1,3,3,1
7,1,3,3,1
7,1,3,3,1
1,15,3,1,1
7,7,1,2,1
3,7,2,2,1
7,7,2,2,1
7,1,3,3,1
9,7,1,3,1
6,3,3,3,1
7,17,1,1,1
6,11,1,2,1
6,3,3,3,1
6,15,2,1,1
7,7,2,1,1
7,7,2,3,1
7,15,1,1,1
7,7,1,3,1
7,15,1,1,1
7,1,3,4,1
6,5,3,3,1
7,7,1,3,1
7,1,3,3,1
7,3,2,4,1
7,1,3,3,1
7,5,2,3,1
7,3,3,3,1
7,1,4,2,1
7,7,1,3,1
7,15,1,1,1
7,5,3,3,1
7,7,1,3,1
6,1,3,3,1
7,7,1,3,1
7,1,4,4,1
7,3,2,4,1
7,7,1,2,1
6,7,3,3,1
7,7,1,2,1
7,1,3,3,1
1,15,1,1,1
3,3,2,3,1
7,15,1,1,1
6,9,2,2,1
1,17,3,1,1
7,1,3,3,1
7,3,3,3,1
7,7,2,3,1
3,9,3,1,1
6,13,2,2,1
7,1,4,3,1
1,17,2,1,1
7,1,3,3,1
6,13,2,2,1
7,3,2,4,1
7,7,1,2,1
6,5,3,3,1
3,7,2,3,1
6,3,4,3,1
6,3,4,3,1
7,1,3,4,1
7,7,2,1,1
3,7,2,3,1
7,1,4,3,1
7,3,3,4,1
7,3,2,4,1
7,15,1,1,1
7,5,3,3,1
7,3,2,4,1
7,3,3,4,1
7,5,2,3,1
2,5,1,2,-1
4,2,2,3,-1
1,1,4,4,-1
1,1,5,2,-1
1,1,5,4,-1
1,1,3,4,-1
1,3,1,2,-1
3,5,1,2,-1
3,3,2,3,-1
3,1,4,3,-1
1,1,4,3,-1
1,1,3,3,-1
3,3,2,3,-1
3,5,1,1,-1
1,4,2,2,-1
3,1,3,4,-1
1,1,4,3,-1
1,1,5,2,-1
1,1,3,3,-1
5,5,1,1,-1
1,6,2,1,-1
1,1,3,3,-1
1,1,4,3,-1
1,1,4,2,-1
3,1,3,3,-1
6,3,1,3,-1
1,7,2,1,-1
1,3,3,3,-1
1,1,4,3,-1
1,1,3,3,-1
7,5,1,2,-1
6,5,1,1,-1
1,9,2,1,-1
1,5,2,3,-1
3,1,2,3,-1
6,3,1,3,-1
6,5,1,2,-1
3,5,1,2,-1
1,5,2,1,-1
1,9,2,1,-1
1,5,2,3,-1
1,3,2,3,-1
1,3,2,3,-1
3,3,1,3,-1
1,3,2,3,-1
3,1,3,3,-1
1,1,5,3,-1
1,1,5,3,-1
3,3,1,3,-1
1,1,4,3,-1
1,1,5,1,-1
1,1,5,2,-1
1,1,3,3,-1
1,5,1,2,-1
3,1,2,3,-1
1,1,4,3,-1
1,1,5,2,-1
1,3,3,4,-1
1,5,1,2,-1
1,5,1,1,-1
1,1,4,3,-1
1,1,4,3,-1
1,1,3,3,-1
3,3,2,3,-1
3,5,1,1,-1
1,7,2,1,-1
1,5,2,2,-1
3,1,3,3,-1
1,1,4,3,-1
1,1,5,1,-1
3,1,2,3,-1
3,5,1,1,-1
1,7,2,1,-1
1,1,3,3,-1
1,1,4,3,-1
1,1,4,2,-1
3,1,3,3,-1
6,3,1,3,-1
1,7,2,1,-1
1,3,3,3,-1
1,1,4,3,-1
1,1,3,3,-1
3,3,1,3,-1
6,5,1,2,-1
3,7,1,1,-1
1,10,2,1,-1
1,3,2,3,-1
1,1,3,3,-1
3,1,2,3,-1
3,3,1,3,-1
6,5,1,2,-1
3,5,1,1,-1
1,5,2,1,-1
1,9,2,1,-1
1,5,2,2,-1
1,3,2,3,-1
1,3,1,3,-1
3,3,1,2,-1
3,3,1,2,-1
1,3,2,2,-1
1,3,2,2,-1
1,1,3,3,-1
1,1,5,2,-1
1,1,5,3,-1
1,5,2,2,-1
3,3,1,3,-1
1,1,4,3,-1
1,1,5,1,-1
1,1,5,2,-1
1,1,3,3,-1
3,5,2,2,-1
3,1,3,3,-1
1,1,4,4,-1
1,1,5,3,-1
1,1,4,4,-1
3,3,2,4,-1
1,5,1,2,-1
3,5,1,2,-1
3,1,2,3,-1
3,1,4,3,-1
1,1,4,3,-1
3,1,3,4,-1
3,3,2,3,-1
3,5,1,1,-1
1,7,2,1,-1
1,3,2,2,-1
3,1,3,4,-1
1,1,5,2,-1
1,1,5,2,-1
3,1,3,3,-1
6,3,2,3,-1
6,5,1,1,-1
1,5,2,1,-1
3,1,3,3,-1
1,1,4,2,-1
1,1,4,2,-1
6,1,3,4,-1
7,3,1,3,-1
6,5,1,1,-1
1,7,2,1,-1
1,1,3,3,-1
1,1,4,3,-1
6,3,1,3,-1
7,5,1,2,-1
6,5,1,1,-1
1,3,2,3,-1
1,1,3,3,-1
4,1,2,3,-1
6,3,1,3,-1
7,5,1,2,-1
3,5,1,2,-1
1,5,2,1,-1
1,7,2,1,-1
1,3,2,3,-1
1,1,2,3,-1
3,3,1,3,-1
3,3,1,3,-1
3,3,1,3,-1
1,3,2,3,-1
1,3,2,3,-1
3,1,3,3,-1
1,1,5,3,-1
1,1,5,3,-1
1,5,2,2,-1
3,3,2,3,-1
1,1,4,3,-1
1,1,5,2,-1
1,1,5,3,-1
1,3,3,4,-1
1,5,1,2,-1
1,1,4,4,-1
1,1,5,3,-1
1,1,5,4,-1
1,1,3,4,-1
3,5,1,1,-1
3,3,2,3,-1
3,1,4,3,-1
1,1,4,3,-1
3,1,3,3,-1
3,1,2,3,-1
3,5,1,2,-1
1,7,3,1,-1
1,1,5,2,-1
1,1,4,3,-1
3,1,2,4,-1
6,5,1,1,-1
1,7,2,1,-1
1,3,3,3,-1
1,1,4,3,-1
1,1,4,2,-1
3,1,3,3,-1
6,3,1,3,-1
6,5,1,1,-1
1,7,2,1,-1
1,3,3,3,-1
1,1,4,3,-1
3,1,3,3,-1
6,3,1,3,-1
7,5,1,2,-1
6,7,1,1,-1
1,13,2,1,-1
1,5,2,2,-1
1,1,3,3,-1
3,1,2,3,-1
6,3,1,3,-1
6,5,1,2,-1
3,5,1,2,-1
1,5,2,1,-1
1,9,2,1,-1
1,5,2,3,-1
1,3,2,3,-1
3,3,1,3,-1
3,3,1,3,-1
1,3,2,3,-1
1,3,2,2,-1
1,1,3,3,-1
1,1,5,3,-1
1,1,5,3,-1
1,1,4,3,-1
1,1,5,2,-1
1,1,5,3,-1
1,1,3,4,-1
3,5,1,2,-1
3,1,3,3,-1
1,1,4,4,-1
1,1,5,3,-1
1,1,4,4,-1
1,5,1,2,-1
3,5,1,2,-1
3,1,2,3,-1
3,1,4,3,-1
1,1,4,3,-1
3,1,3,4,-1
3,3,2,3,-1
3,5,1,1,-1
3,3,2,2,-1
3,1,3,4,-1
1,1,5,3,-1
1,1,5,2,-1
3,3,2,3,-1
3,5,1,1,-1
3,1,3,3,-1
1,1,4,3,-1
1,1,4,3,-1
3,1,3,4,-1
6,3,1,3,-1
6,5,1,1,-1
1,7,2,1,-1
1,1,3,3,-1
1,1,4,3,-1
3,1,3,3,-1
6,3,1,3,-1
7,5,1,1,-1
3,7,1,1,-1
1,7,2,1,-1
1,3,2,3,-1
1,1,3,3,-1
3,1,2,3,-1
6,3,1,3,-1
6,5,1,2,-1
3,5,1,2,-1
1,5,2,1,-1
1,7,2,2,-1
1,3,2,3,-1
1,1,2,3,-1
3,3,1,3,-1
3,3,1,3,-1
3,3,1,3,-1
1,3,2,3,-1
1,3,2,3,-1
1,1,3,3,-1
1,1,5,3,-1
1,1,5,3,-1
1,5,2,2,-1
3,3,2,3,-1
1,1,4,3,-1
1,1,5,2,-1
1,1,5,3,-1
3,1,3,3,-1
1,1,4,4,-1
1,1,5,3,-1
1,1,4,4,-1
3,3,2,4,-1
1,5,1,2,-1
3,5,1,2,-1
3,1,2,3,-1
3,1,4,3,-1
1,1,4,3,-1
3,1,3,4,-1
3,3,2,4,-1
3,5,1,1,-1
3,3,2,2,-1
3,1,3,4,-1
1,1,5,3,-1
1,1,5,2,-1
6,3,2,4,-1
1,5,2,1,-1
1,1,4,3,-1
1,1,4,3,-1
6,1,3,4,-1
7,3,1,3,-1
6,5,1,1,-1
1,7,2,1,-1
1,1,3,3,-1
1,1,4,4,-1
3,1,3,4,-1
6,3,1,4,-1
7,5,1,2,-1
6,5,1,1,-1
1,7,2,1,-1
1,3,2,3,-1
1,1,3,3,-1
3,1,2,3,-1
6,3,1,3,-1
6,5,1,2,-1
1,5,2,1,-1
1,7,2,1,-1
1,5,2,3,-1
1,3,2,3,-1
3,3,1,3,-1
3,3,1,3,-1
3,3,1,3,-1
1,3,2,3,-1
1,3,2,3,-1
1,1,3,3,-1
1,1,5,3,-1
1,1,5,3,-1
1,5,2,2,-1
3,3,2,3,-1
1,1,4,3,-1
1,1,5,2,-1
1,1,5,3,-1
1,5,1,2,-1
3,1,2,3,-1
1,1,4,3,-1
1,1,5,3,-1
1,1,5,4,-1
1,1,3,4,-1
1,5,1,2,-1
1,5,1,1,-1
3,3,2,3,-1
1,1,4,3,-1
1,1,5,3,-1
1,1,4,3,-1
3,3,2,4,-1
1,7,2,1,-1
1,5,2,2,-1
1,1,3,3,-1
1,1,4,3,-1
1,1,5,2,-1
1,1,4,3,-1
3,1,2,3,-1
3,5,1,1,-1
1,5,2,1,-1
1,1,3,3,-1
1,1,4,3,-1
3,1,3,4,-1
6,5,1,1,-1
1,7,2,1,-1
1,3,3,3,-1
1,1,4,3,-1
1,1,3,3,-1
6,3,1,3,-1
7,5,1,2,-1
6,5,1,1,-1
1,12,2,1,-1
1,3,2,3,-1
1,1,3,3,-1
3,1,2,3,-1
6,3,1,3,-1
6,5,1,2,-1
3,5,1,1,-1
1,5,2,1,-1
1,9,2,1,-1
1,2,2,3,-1
3,3,1,3,-1
3,3,1,2,-1
1,3,2,2,-1
1,3,2,2,-1
1,1,3,3,-1
1,1,5,3,-1
1,5,2,2,-1
3,3,1,2,-1
1,1,4,3,-1
1,1,5,2,-1
1,1,5,2,-1
1,1,3,3,-1
1,5,1,2,-1
3,3,2,3,-1
1,1,4,3,-1
1,1,5,2,-1
1,1,5,3,-1
1,1,3,4,-1
1,5,1,2,-1
1,5,1,1,-1
3,3,2,3,-1
1,1,4,3,-1
1,1,5,3,-1
1,1,4,3,-1
3,3,2,3,-1
3,5,1,1,-1
1,7,2,1,-1
1,5,2,1,-1
1,1,3,3,-1
1,1,4,3,-1
1,1,5,2,-1
1,1,4,3,-1
3,5,1,1,-1
1,7,2,1,-1
1,1,3,3,-1
1,1,4,3,-1
1,1,4,2,-1
3,1,3,3,-1
6,3,1,3,-1
6,5,1,1,-1
1,7,2,1,-1
1,3,3,3,-1
1,1,4,3,-1
1,1,3,3,-1
3,3,1,3,-1
3,7,1,1,-1
1,13,2,1,-1
1,3,2,3,-1
1,1,3,3,-1
3,1,2,3,-1
3,3,1,3,-1
6,5,1,2,-1
3,5,1,1,-1
1,5,2,1,-1
1,11,2,1,-1
1,5,2,2,-1
1,3,2,3,-1
1,3,2,3,-1
3,5,1,2,-1
3,3,1,2,-1
1,3,2,2,-1
1,3,2,2,-1
1,1,5,3,-1
1,1,5,3,-1
3,3,1,2,-1
1,1,4,3,-1
1,1,5,1,-1
1,1,5,2,-1
1,5,1,2,-1
3,3,2,3,-1
1,1,4,3,-1
1,1,5,3,-1
1,1,3,4,-1
1,5,1,2,-1
1,5,1,1,-1
3,3,2,3,-1
1,1,4,3,-1
1,1,4,3,-1
3,3,2,3,-1
3,5,1,1,-1
1,1,3,3,-1
1,1,4,3,-1
1,1,5,1,-1
1,1,4,3,-1
3,1,2,3,-1
1,7,2,1,-1
1,1,3,3,-1
1,1,4,3,-1
1,1,4,2,-1
3,1,3,3,-1
6,3,1,3,-1
6,5,1,1,-1
1,7,2,1,-1
1,3,3,3,-1
1,1,4,3,-1
1,1,3,3,-1
3,3,1,3,-1
6,5,1,2,-1
3,7,1,1,-1
1,13,2,1,-1
1,3,2,2,-1
1,1,3,3,-1
1,1,2,3,-1
3,3,1,3,-1
6,5,1,2,-1
3,5,1,1,-1
1,5,3,2,-1
1,3,2,3,-1
3,3,1,2,-1
1,3,2,2,-1
1,3,2,2,-1
1,1,3,3,-1
1,1,5,3,-1
1,1,5,3,-1
1,5,2,2,-1
3,3,1,2,-1
1,1,4,3,-1
1,1,5,2,-1
1,1,3,3,-1
3,5,1,2,-1
6,1,2,3,-1
1,1,4,4,-1
1,1,5,3,-1
1,1,5,4,-1
1,1,3,4,-1
3,5,1,2,-1
3,5,1,2,-1
6,3,2,3,-1
3,1,4,3,-1
3,1,4,4,-1
3,1,2,4,-1
3,5,1,2,-1
1,7,2,1,-1
3,3,2,2,-1
3,1,4,3,-1
1,1,5,2,-1
3,1,2,4,-1
6,5,1,1,-1
1,5,2,1,-1
3,1,3,3,-1
1,1,4,3,-1
3,1,3,4,-1
6,3,1,3,-1
6,5,1,1,-1
1,7,2,1,-1
1,1,4,4,-1
3,1,3,3,-1
6,3,1,4,-1
7,5,1,2,-1
6,7,1,1,-1
1,9,2,1,-1
1,3,2,3,-1
3,1,2,3,-1
6,3,1,3,-1
6,5,1,2,-1
3,5,1,2,-1
1,5,2,1,-1
1,9,2,1,-1
1,5,2,3,-1
1,1,2,3,-1
3,1,2,3,-1
3,3,1,3,-1
3,3,1,3,-1
1,3,2,3,-1
1,3,2,2,-1
3,1,3,3,-1
1,1,5,3,-1
1,1,5,3,-1
1,5,2,2,-1
4,3,1,3,-1
3,1,4,3,-1
1,1,5,2,-1
1,1,5,2,-1
1,1,3,4,1
