@relation R_data_frame

@attribute Variance {1,2,3,4}
@attribute Skewness {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@attribute Curtosis {1,2,3,4,5}
@attribute Entropy {1,2,3,4}
@attribute TRAIN_Y_DISCRETIZED {-1,1}

@data
4,8,2,3,1
3,6,2,3,1
2,6,3,3,1
1,12,3,1,1
4,18,1,1,1
4,12,1,2,1
4,6,2,3,1
4,16,1,1,1
1,10,1,1,1
3,2,3,3,1
3,2,3,3,1
4,2,2,3,1
4,2,3,3,1
4,16,1,1,1
2,2,3,3,1
3,2,4,3,1
4,2,3,3,1
4,6,2,3,1
1,18,3,2,1
4,2,2,3,1
4,18,1,1,1
3,6,2,2,1
4,2,4,3,1
3,2,4,3,1
4,2,3,3,1
3,2,3,3,1
3,4,3,3,1
4,4,2,3,1
1,6,2,2,1
4,2,3,3,1
3,6,2,3,1
3,6,2,2,1
1,18,3,1,1
1,6,2,2,1
3,2,3,3,1
4,2,3,3,1
1,2,4,3,1
1,16,3,1,1
3,2,3,3,1
4,2,3,3,1
1,8,1,1,1
4,6,2,3,1
1,2,4,3,1
3,16,2,2,1
3,2,2,3,1
1,2,4,3,1
1,6,3,1,1
4,6,2,3,1
1,18,3,1,1
1,16,3,1,1
3,6,2,3,1
4,2,3,3,1
4,2,4,3,1
3,2,3,3,1
4,16,1,1,1
3,2,3,3,1
4,2,3,3,1
1,18,3,1,1
1,6,2,3,1
4,6,2,3,1
3,6,2,2,1
4,2,3,3,1
4,6,2,3,1
4,2,3,3,1
1,14,1,1,1
4,16,1,1,1
3,6,3,3,1
4,2,2,3,1
4,6,2,3,1
3,6,2,3,1
4,10,1,1,1
4,16,1,1,1
4,6,1,3,1
3,2,4,3,1
4,2,3,3,1
4,2,2,3,1
3,2,2,3,1
3,2,4,3,1
1,6,3,2,1
1,16,2,1,1
3,6,2,3,1
4,16,1,1,1
1,4,3,3,1
3,2,3,3,1
3,2,3,3,1
1,16,2,1,1
4,2,3,3,1
1,2,4,3,1
1,18,3,1,1
3,2,3,3,1
2,2,4,3,1
4,2,3,3,1
3,2,3,3,1
1,12,3,1,1
4,2,3,3,1
3,12,1,2,1
4,6,2,3,1
1,2,4,3,1
4,6,2,3,1
3,12,1,3,1
4,2,3,3,1
3,2,4,3,1
3,2,4,3,1
2,2,3,3,1
3,6,2,2,1
4,2,3,3,1
3,16,2,1,1
3,10,2,3,1
4,2,2,3,1
4,16,1,1,1
4,2,3,3,1
3,6,3,3,1
4,2,3,3,1
4,6,2,3,1
4,2,3,3,1
3,6,2,2,1
4,6,1,3,1
4,6,2,3,1
3,4,3,3,1
1,16,2,3,1
3,2,3,3,1
4,2,2,3,1
4,16,1,1,1
4,16,1,2,1
4,2,3,3,1
4,6,2,3,1
4,2,2,3,1
4,6,2,3,1
4,2,3,3,1
3,2,4,3,1
3,6,2,2,1
3,6,2,2,1
1,2,4,3,1
4,2,3,3,1
4,2,3,3,1
2,2,4,3,1
1,16,2,1,1
3,2,4,3,1
3,2,4,3,1
2,2,3,3,1
4,6,2,3,1
4,4,3,3,1
1,18,2,1,1
3,2,4,3,1
4,2,3,3,1
3,6,2,2,1
3,2,4,3,1
3,8,1,3,1
2,2,3,3,1
4,6,2,3,1
3,8,2,3,1
1,18,3,2,1
3,16,2,2,1
3,16,2,3,1
2,10,1,1,1
3,2,4,2,1
4,6,2,3,1
4,2,3,3,1
4,2,3,3,1
3,2,3,3,1
3,6,2,3,1
3,6,2,3,1
2,2,3,3,1
4,6,2,3,1
4,6,3,3,1
3,2,4,3,1
4,2,3,3,1
2,2,3,3,1
4,14,1,2,1
1,2,4,3,1
4,16,1,1,1
4,2,3,3,1
4,2,3,3,1
1,2,4,3,1
4,6,2,3,1
3,2,3,3,1
3,2,3,3,1
3,2,3,3,1
4,2,3,3,1
4,2,3,3,1
4,2,3,3,1
4,4,3,3,1
3,2,4,3,1
3,6,3,3,1
3,6,2,3,1
4,6,2,3,1
1,18,2,1,1
4,2,3,3,1
3,16,2,2,1
4,6,2,3,1
1,6,2,3,1
4,2,3,3,1
4,2,3,3,1
1,6,3,3,1
2,2,3,3,1
2,2,3,3,1
3,6,3,3,1
4,12,1,1,1
1,6,3,2,1
4,8,1,3,1
4,8,2,3,1
4,16,1,1,1
1,18,3,1,1
4,2,3,3,1
4,2,3,3,1
3,4,3,3,1
4,2,3,3,1
4,6,2,3,1
4,6,2,3,1
4,6,2,2,1
4,2,2,3,1
3,2,3,3,1
3,16,1,2,1
4,2,3,3,1
3,18,2,1,1
3,8,2,3,1
1,2,4,3,1
3,16,2,1,1
4,6,1,3,1
1,18,3,1,1
4,8,1,2,1
4,2,3,3,1
3,2,4,3,1
3,2,3,3,1
4,16,1,1,1
2,16,2,1,1
3,6,2,3,1
1,18,3,2,1
4,2,3,3,1
1,18,3,2,1
4,16,1,1,1
1,6,2,2,1
3,6,3,2,1
3,6,3,3,1
4,16,1,2,1
1,18,2,1,1
3,4,2,3,1
4,2,2,3,1
1,6,3,3,1
4,2,3,3,1
3,2,4,3,1
3,2,4,3,1
3,6,3,3,1
4,2,3,3,1
2,2,3,3,1
3,6,3,2,1
1,6,3,2,1
1,6,3,3,1
4,2,3,3,1
3,6,2,3,1
3,2,3,3,1
4,2,3,3,1
4,16,1,2,1
4,2,3,4,1
3,10,1,3,1
4,2,3,3,1
4,18,1,1,1
3,2,4,3,1
1,2,4,3,1
3,2,4,3,1
1,18,3,2,1
1,2,4,3,1
4,16,1,1,1
1,8,3,1,1
3,6,2,3,1
1,16,3,1,1
4,2,3,3,1
4,2,4,3,1
3,6,2,2,1
4,6,1,3,1
3,14,2,2,1
4,16,1,2,1
3,8,2,3,1
2,2,3,3,1
2,6,3,3,1
4,6,2,3,1
4,2,2,3,1
4,2,3,4,1
3,16,2,1,1
4,16,1,2,1
4,2,3,3,1
3,6,3,3,1
4,2,3,3,1
3,2,2,3,1
4,2,3,3,1
4,16,1,1,1
4,2,3,3,1
4,2,3,3,1
4,6,2,3,1
3,8,2,3,1
4,16,1,2,1
3,6,3,3,1
4,16,1,1,1
3,2,3,3,1
3,2,3,3,1
4,2,3,3,1
3,8,2,3,1
3,6,2,3,1
4,8,2,3,1
4,6,2,3,1
1,18,3,2,1
4,2,2,3,1
1,18,3,1,1
3,4,3,3,1
4,8,2,3,1
4,6,1,3,1
1,6,3,3,1
3,10,2,2,1
2,6,3,3,1
4,6,2,3,1
4,6,2,3,1
4,16,1,2,1
4,2,3,4,1
4,6,2,3,1
1,2,4,3,1
3,2,3,3,1
3,2,4,3,1
4,12,1,3,1
3,6,3,2,1
4,2,2,3,1
4,6,2,3,1
4,8,1,3,1
4,2,2,3,1
3,6,2,2,1
4,2,4,3,1
1,16,3,2,1
4,18,1,1,1
4,2,4,3,1
1,16,1,1,1
4,2,3,3,1
1,2,4,3,1
3,2,3,3,1
3,6,3,3,1
4,4,3,3,1
3,2,4,3,1
4,2,2,3,1
4,6,2,3,1
4,6,2,3,1
3,6,2,2,1
4,6,2,3,1
4,2,3,3,1
1,8,2,2,1
4,2,3,3,1
4,2,3,3,1
4,16,1,1,1
4,6,2,3,1
3,2,3,3,1
4,6,2,3,1
1,18,3,1,1
3,4,3,3,1
4,2,3,3,1
4,6,2,3,1
4,6,2,3,1
3,8,2,1,1
2,2,3,3,1
3,2,3,3,1
2,4,3,3,1
3,8,2,3,1
3,6,2,2,1
4,6,2,2,1
4,2,3,4,1
1,18,3,1,1
4,6,2,3,1
4,16,1,2,1
4,2,3,3,1
1,6,3,3,1
4,6,2,3,1
4,2,3,3,1
3,2,4,3,1
4,2,2,3,1
4,2,3,4,1
4,4,3,3,1
4,16,1,1,1
1,18,2,1,1
4,2,3,3,1
4,2,3,3,1
4,2,3,3,1
3,6,3,2,1
4,2,3,4,1
4,2,3,3,1
4,12,1,3,1
4,16,1,1,1
4,2,4,3,1
3,4,3,3,1
3,6,2,2,1
4,2,3,3,1
4,2,3,3,1
3,2,4,3,1
4,18,1,1,1
1,2,4,3,1
4,16,1,1,1
3,6,2,2,1
4,6,2,3,1
4,6,2,3,1
4,2,3,3,1
3,2,4,3,1
4,2,3,3,1
3,2,3,3,1
4,16,1,1,1
4,8,1,3,1
3,8,2,3,1
4,2,3,3,1
3,8,2,3,1
4,6,2,3,1
1,18,2,1,1
4,2,3,3,1
3,2,4,3,1
2,6,3,3,1
4,2,3,3,1
3,6,2,2,1
3,6,2,2,1
1,6,1,2,1
3,6,2,3,1
4,2,3,3,1
3,2,4,3,1
3,2,3,3,1
4,6,2,2,1
3,6,3,3,1
4,16,1,1,1
4,2,3,3,1
3,6,3,3,1
4,2,3,3,1
4,16,1,1,1
4,2,3,3,1
1,16,2,1,1
3,6,2,3,1
1,18,2,1,1
4,16,1,1,1
4,2,2,3,1
4,6,2,3,1
1,12,3,1,1
4,8,1,1,1
1,2,4,3,1
4,2,3,3,1
4,6,2,3,1
1,10,1,1,1
4,6,2,3,1
1,6,1,2,1
3,2,2,3,1
3,6,3,2,1
4,2,3,3,1
4,2,3,4,1
4,2,3,3,1
4,6,2,3,1
4,6,2,3,1
4,2,3,3,1
3,6,3,3,1
3,2,3,3,1
4,2,3,3,1
4,4,3,3,1
3,2,3,3,1
4,2,3,3,1
3,2,3,3,1
3,2,4,3,1
4,6,2,3,1
4,6,2,3,1
4,2,2,3,1
3,6,3,3,1
4,2,2,3,1
2,6,3,3,1
4,2,3,3,1
4,6,2,3,1
3,16,2,1,1
4,2,3,3,1
3,6,3,3,1
1,2,4,3,1
1,12,2,3,1
4,2,4,3,1
4,2,3,3,1
4,2,4,3,1
4,2,3,3,1
4,16,1,1,1
1,16,3,2,1
3,2,4,3,1
3,2,3,3,1
4,2,3,3,1
1,6,3,3,1
4,8,1,3,1
4,2,3,3,1
4,4,2,3,1
3,6,3,3,1
3,2,4,3,1
3,2,3,3,1
4,2,3,4,1
4,2,3,3,1
2,2,3,3,1
3,2,3,3,1
1,18,3,1,1
3,8,2,3,1
1,6,3,3,1
2,6,2,3,1
1,12,1,1,1
3,2,3,3,1
3,6,2,3,1
4,2,3,3,1
3,2,4,3,1
4,2,3,3,1
4,2,3,3,1
1,16,3,1,1
3,6,3,3,1
1,6,3,3,1
4,6,2,3,1
4,2,3,3,1
4,6,2,3,1
3,2,3,3,1
4,18,1,1,1
3,10,2,3,1
2,16,2,1,1
3,6,2,2,1
4,6,2,3,1
4,2,4,3,1
4,16,1,1,1
4,6,2,3,1
4,16,1,1,1
4,2,3,3,1
3,4,3,3,1
4,6,2,3,1
4,2,3,3,1
4,2,3,3,1
4,4,2,3,1
4,4,2,3,1
3,2,3,3,1
3,2,4,3,1
4,6,2,3,1
4,16,1,1,1
4,3,3,3,1
4,6,2,3,1
2,2,3,3,1
4,6,2,2,1
4,6,2,3,1
3,2,4,3,1
4,2,2,3,1
1,2,4,3,1
4,6,2,3,1
3,6,3,3,1
4,6,1,3,1
4,2,3,3,1
1,6,3,2,1
1,16,2,1,1
2,2,3,3,1
1,2,4,3,1
4,16,1,2,1
3,8,2,3,1
1,18,3,1,1
4,2,3,3,1
4,6,2,3,1
1,8,3,1,1
4,6,2,3,1
3,12,2,3,1
3,2,4,3,1
1,18,3,1,1
4,2,3,3,1
4,2,2,3,1
4,6,2,3,1
3,2,3,3,1
4,6,2,3,1
3,2,4,3,1
4,2,4,3,1
3,6,2,2,1
2,6,2,3,1
4,2,4,3,1
3,2,4,3,1
4,2,2,3,1
4,2,3,3,1
4,2,2,3,1
1,8,3,1,1
4,2,3,3,1
3,4,2,3,1
1,2,2,2,-1
2,2,2,3,-1
1,1,4,3,-1
1,1,5,3,-1
1,1,4,3,-1
1,2,3,3,-1
1,2,2,2,-1
2,2,2,3,-1
1,2,4,3,-1
1,1,4,3,-1
1,2,4,3,-1
1,2,2,3,-1
1,2,2,2,-1
1,2,3,3,-1
1,1,5,2,-1
1,2,4,3,-1
1,2,2,3,-1
2,3,1,1,-1
1,5,2,1,-1
1,2,4,3,-1
1,1,4,3,-1
1,2,3,3,-1
3,2,2,3,-1
1,6,2,1,-1
1,2,3,3,-1
1,2,4,3,-1
1,2,3,3,-1
2,2,2,3,-1
3,4,1,2,-1
3,4,1,1,-1
1,8,2,1,-1
1,2,3,3,-1
1,2,2,3,-1
3,2,1,3,-1
3,2,1,3,-1
1,2,1,2,-1
1,2,2,2,-1
1,8,2,2,-1
1,2,3,3,-1
1,2,3,3,-1
1,2,2,3,-1
1,2,2,3,-1
1,2,2,3,-1
1,2,2,3,-1
1,2,3,3,-1
1,2,4,3,-1
1,2,4,3,-1
1,4,2,3,-1
1,2,2,3,-1
1,1,5,2,-1
1,1,5,3,-1
1,2,3,3,-1
1,2,2,2,-1
1,2,2,3,-1
1,1,5,3,-1
1,1,4,3,-1
1,2,3,3,-1
1,2,2,2,-1
1,2,2,2,-1
1,2,2,3,-1
1,2,4,3,-1
1,1,4,3,-1
1,2,4,3,-1
1,6,3,1,-1
1,2,2,2,-1
1,2,3,3,-1
1,1,4,3,-1
1,1,5,2,-1
1,2,4,3,-1
1,2,2,3,-1
1,4,1,1,-1
1,6,2,1,-1
1,2,3,3,-1
1,1,4,3,-1
1,1,4,2,-1
1,2,3,3,-1
3,2,2,3,-1
3,4,1,1,-1
1,2,3,3,-1
1,2,4,3,-1
1,2,4,3,-1
1,2,2,3,-1
3,4,1,2,-1
2,6,1,1,-1
1,9,2,1,-1
1,2,2,3,-1
1,2,3,3,-1
1,2,2,3,-1
1,2,1,3,-1
3,4,1,3,-1
1,2,1,2,-1
1,4,2,2,-1
1,8,2,2,-1
1,4,3,3,-1
1,2,3,3,-1
1,2,2,3,-1
1,2,2,3,-1
1,2,2,3,-1
1,2,2,2,-1
1,2,3,3,-1
1,2,4,3,-1
1,2,4,3,-1
1,4,2,3,-1
1,1,5,3,-1
1,2,3,3,-1
1,2,2,3,-1
1,1,4,3,-1
1,2,3,3,-1
1,2,2,2,-1
1,2,2,2,-1
1,2,3,3,-1
1,1,4,3,-1
1,1,4,3,-1
1,2,3,3,-1
1,2,1,2,-1
1,6,2,1,-1
1,2,2,3,-1
1,2,3,3,-1
1,1,4,3,-1
1,1,5,2,-1
1,2,3,3,-1
2,2,2,3,-1
3,4,1,1,-1
1,4,2,1,-1
1,1,4,3,-1
1,1,4,3,-1
2,2,3,3,-1
3,2,2,3,-1
3,4,1,2,-1
1,6,2,1,-1
1,2,3,3,-1
1,2,4,3,-1
1,2,3,3,-1
3,2,2,3,-1
3,4,1,2,-1
3,4,1,1,-1
1,6,2,1,-1
1,2,3,3,-1
2,2,2,3,-1
3,2,2,3,-1
3,4,1,3,-1
1,2,2,2,-1
1,4,2,2,-1
1,6,3,2,-1
1,2,3,3,-1
1,2,3,3,-1
1,2,2,3,-1
2,2,2,3,-1
1,2,2,3,-1
1,2,2,3,-1
1,2,2,3,-1
1,2,3,3,-1
1,1,5,3,-1
1,2,4,3,-1
1,2,2,3,-1
1,1,5,2,-1
1,2,4,3,-1
1,2,3,3,-1
1,4,2,2,-1
1,2,2,3,-1
1,2,4,3,-1
1,1,5,3,-1
1,1,4,3,-1
1,2,2,3,-1
1,2,2,2,-1
1,2,2,3,-1
1,2,4,3,-1
1,1,4,3,-1
1,2,4,3,-1
1,2,1,2,-1
1,6,3,1,-1
1,2,2,2,-1
1,2,3,3,-1
1,1,4,3,-1
1,1,5,2,-1
1,2,4,3,-1
1,2,2,3,-1
2,4,1,2,-1
1,6,2,1,-1
1,2,3,3,-1
1,2,4,3,-1
1,1,4,3,-1
1,2,3,3,-1
3,2,2,3,-1
3,4,1,1,-1
1,6,2,1,-1
1,2,3,3,-1
1,2,4,3,-1
1,2,4,3,-1
3,6,1,1,-1
1,11,2,1,-1
1,2,2,3,-1
1,2,3,3,-1
1,2,2,3,-1
3,2,2,3,-1
3,4,1,3,-1
1,2,1,2,-1
1,2,2,2,-1
1,8,2,2,-1
1,4,3,3,-1
1,2,3,3,-1
1,2,2,3,-1
1,2,2,3,-1
1,2,2,3,-1
1,2,2,3,-1
1,2,2,3,-1
1,2,4,3,-1
1,2,4,3,-1
1,4,2,3,-1
1,2,2,3,-1
1,2,4,3,-1
1,1,5,3,-1
1,2,3,3,-1
1,2,2,3,-1
1,2,3,3,-1
1,1,4,3,-1
1,1,5,3,-1
1,2,4,3,-1
1,2,3,3,-1
1,2,2,2,-1
1,2,2,2,-1
1,2,3,3,-1
1,1,4,3,-1
1,1,4,3,-1
1,2,3,3,-1
1,2,2,3,-1
1,4,1,2,-1
1,6,2,1,-1
1,2,2,3,-1
1,2,3,3,-1
1,1,5,2,-1
1,2,3,3,-1
1,2,2,3,-1
1,4,1,1,-1
1,4,2,2,-1
1,2,3,3,-1
1,1,4,3,-1
1,1,4,3,-1
1,2,3,3,-1
3,2,2,3,-1
3,4,1,1,-1
1,2,3,3,-1
1,2,4,3,-1
1,2,3,3,-1
3,2,2,3,-1
3,4,1,2,-1
2,6,1,1,-1
1,6,2,1,-1
1,2,3,3,-1
1,2,3,3,-1
1,2,2,3,-1
3,2,2,3,-1
1,2,2,2,-1
1,4,2,2,-1
1,6,3,2,-1
1,2,3,3,-1
1,2,3,3,-1
1,2,2,3,-1
1,2,2,3,-1
1,2,2,3,-1
1,2,2,3,-1
1,2,2,3,-1
1,2,3,3,-1
1,1,5,3,-1
1,2,4,3,-1
1,4,2,3,-1
1,2,2,3,-1
1,1,5,2,-1
1,2,4,3,-1
1,2,3,3,-1
1,2,2,3,-1
2,2,3,3,-1
1,1,4,3,-1
1,1,5,3,-1
1,2,3,3,-1
1,2,2,2,-1
1,2,2,2,-1
2,2,3,3,-1
1,1,4,3,-1
1,1,4,3,-1
1,2,4,3,-1
1,2,2,3,-1
1,2,1,2,-1
1,2,2,3,-1
1,2,3,3,-1
1,1,4,3,-1
1,2,4,3,-1
2,2,2,3,-1
3,4,1,1,-1
1,4,2,1,-1
1,2,3,3,-1
1,1,4,3,-1
1,1,4,3,-1
3,2,3,3,-1
3,2,2,3,-1
1,6,3,1,-1
1,2,3,3,-1
1,2,4,3,-1
3,2,2,3,-1
3,4,1,2,-1
3,4,1,1,-1
1,6,2,1,-1
1,2,3,3,-1
1,2,3,3,-1
1,2,2,3,-1
3,2,1,3,-1
3,4,1,3,-1
1,2,2,2,-1
1,4,2,2,-1
1,6,2,2,-1
1,2,3,3,-1
1,2,3,3,-1
1,2,2,3,-1
1,2,2,3,-1
1,2,2,3,-1
1,2,3,3,-1
1,1,5,3,-1
1,2,4,3,-1
1,4,2,3,-1
2,2,2,3,-1
1,2,4,3,-1
1,1,5,2,-1
1,1,4,3,-1
1,2,3,3,-1
1,4,2,2,-1
1,1,4,3,-1
1,1,5,3,-1
1,1,4,3,-1
1,2,3,3,-1
1,2,2,2,-1
1,2,2,3,-1
1,2,4,3,-1
1,1,4,3,-1
1,2,4,3,-1
1,2,2,3,-1
1,2,1,2,-1
1,6,3,1,-1
1,2,2,2,-1
1,2,3,3,-1
1,1,4,3,-1
1,2,4,3,-1
1,2,2,3,-1
2,2,1,1,-1
1,4,2,1,-1
1,2,3,3,-1
1,1,4,3,-1
1,1,4,2,-1
1,2,3,3,-1
3,2,2,3,-1
3,4,1,1,-1
1,6,2,1,-1
1,2,3,3,-1
1,2,4,3,-1
3,2,2,3,-1
3,4,1,2,-1
3,4,1,1,-1
1,10,2,1,-1
1,2,3,3,-1
1,2,3,3,-1
1,2,2,3,-1
3,2,1,3,-1
3,4,1,3,-1
1,2,1,2,-1
1,4,2,2,-1
1,8,2,1,-1
1,2,3,3,-1
1,2,3,3,-1
1,2,2,3,-1
1,2,2,3,-1
1,2,2,3,-1
1,2,2,3,-1
1,2,2,2,-1
1,2,3,3,-1
1,2,4,3,-1
1,2,4,3,-1
1,2,2,3,-1
1,2,4,3,-1
1,1,5,2,-1
1,2,3,3,-1
1,4,2,2,-1
1,2,2,3,-1
1,2,4,3,-1
1,1,5,3,-1
1,1,4,3,-1
1,2,3,3,-1
1,2,2,2,-1
1,4,2,2,-1
1,2,2,3,-1
1,2,4,3,-1
1,1,4,3,-1
1,2,4,3,-1
1,2,2,3,-1
1,6,3,1,-1
1,2,2,2,-1
1,1,4,3,-1
1,1,5,2,-1
1,2,4,3,-1
1,2,2,3,-1
1,4,1,1,-1
1,2,3,3,-1
1,2,4,3,-1
1,1,4,2,-1
1,2,3,3,-1
3,2,2,3,-1
3,4,1,1,-1
1,6,2,1,-1
1,2,3,3,-1
1,2,4,3,-1
1,2,4,3,-1
2,2,2,3,-1
3,4,1,2,-1
2,6,1,1,-1
1,14,2,1,-1
1,2,3,3,-1
1,2,3,3,-1
1,2,2,3,-1
1,2,1,3,-1
3,4,1,2,-1
1,4,1,2,-1
1,4,2,1,-1
1,10,2,1,-1
1,2,1,3,-1
1,2,2,3,-1
1,2,2,3,-1
1,2,2,2,-1
1,2,3,3,-1
1,2,4,3,-1
1,2,4,3,-1
1,4,2,2,-1
1,2,2,3,-1
1,2,4,3,-1
1,1,5,2,-1
1,1,5,3,-1
1,2,3,3,-1
1,4,2,2,-1
1,2,2,3,-1
1,2,4,3,-1
1,1,5,3,-1
1,1,4,3,-1
1,2,3,3,-1
1,2,2,2,-1
1,4,2,2,-1
1,2,4,3,-1
1,1,4,3,-1
1,2,4,3,-1
1,2,2,3,-1
1,2,1,2,-1
1,6,3,1,-1
1,2,2,2,-1
1,2,3,3,-1
1,1,4,3,-1
1,1,5,2,-1
1,2,4,3,-1
1,2,2,3,-1
1,4,1,1,-1
1,6,2,1,-1
1,2,3,3,-1
1,1,4,3,-1
1,1,4,2,-1
1,2,3,3,-1
3,2,2,3,-1
2,4,1,1,-1
1,6,2,1,-1
1,2,3,3,-1
1,2,4,3,-1
1,2,4,3,-1
1,2,2,3,-1
3,4,1,2,-1
2,6,1,1,-1
1,14,2,1,-1
1,2,3,3,-1
1,2,3,3,-1
1,2,2,3,-1
1,2,1,3,-1
2,4,1,2,-1
1,4,1,2,-1
1,4,2,1,-1
1,10,2,1,-1
1,2,3,3,-1
1,2,3,3,-1
1,2,2,3,-1
1,2,2,3,-1
1,2,2,3,-1
1,2,2,3,-1
1,2,2,2,-1
1,2,3,3,-1
1,2,4,3,-1
1,2,4,3,-1
1,4,2,2,-1
1,2,2,3,-1
1,1,5,2,-1
1,1,5,3,-1
1,2,3,3,-1
1,2,2,2,-1
1,1,4,3,-1
1,1,5,3,-1
1,1,4,3,-1
1,2,3,4,-1
1,2,2,3,-1
1,2,2,2,-1
3,2,2,3,-1
1,2,4,3,-1
1,1,4,3,-1
1,2,4,3,-1
1,2,2,3,-1
1,6,3,1,-1
1,2,2,2,-1
1,2,3,3,-1
1,1,4,3,-1
1,1,5,2,-1
1,1,4,3,-1
1,2,2,3,-1
3,4,1,2,-1
1,4,2,1,-1
1,2,3,3,-1
1,1,4,3,-1
1,1,4,3,-1
1,2,3,3,-1
3,2,2,3,-1
3,4,1,2,-1
1,6,2,1,-1
1,2,3,3,-1
1,2,4,3,-1
1,2,4,3,-1
3,2,2,3,-1
3,4,1,2,-1
3,6,1,1,-1
1,8,2,1,-1
1,2,3,3,-1
1,2,2,3,-1
3,2,1,3,-1
1,2,1,2,-1
1,2,2,2,-1
1,8,2,2,-1
1,2,3,3,-1
1,2,3,3,-1
1,2,2,3,-1
1,2,2,3,-1
1,2,2,3,-1
1,2,2,3,-1
1,2,3,3,-1
1,2,4,3,-1
1,2,4,3,-1
1,4,2,3,-1
2,2,2,3,-1
1,2,4,3,-1
1,1,5,2,-1
1,1,5,3,-1
1,2,3,3,1
