@relation R_data_frame

@attribute Variance {1,2,3,4,5,6,7,8,9}
@attribute Skewness {1,2,3,4,5,6,7}
@attribute Curtosis {1,2,3,4,5,6}
@attribute Entropy {1,2,3}
@attribute TRAIN_Y_DISCRETIZED {-1,1}

@data
7,7,2,1,1
6,4,4,2,1
7,7,2,1,1
7,3,4,2,1
6,3,4,2,1
7,2,4,3,1
6,6,3,2,1
7,6,2,2,1
7,5,2,2,1
1,7,4,1,1
7,3,3,3,1
1,7,4,1,1
6,3,4,2,1
7,6,2,2,1
7,5,2,2,1
3,4,4,2,1
6,6,3,2,1
4,5,4,2,1
7,5,3,2,1
7,7,2,2,1
7,3,4,3,1
4,3,4,2,1
7,5,3,2,1
7,3,4,2,1
6,3,5,2,1
7,6,2,2,1
3,6,4,1,1
6,5,4,2,1
7,5,2,2,1
7,4,2,2,1
7,6,2,2,1
6,5,4,2,1
7,3,3,2,1
7,4,3,2,1
7,2,4,3,1
1,7,4,2,1
3,7,2,1,1
7,2,4,3,1
3,2,5,2,1
6,5,4,2,1
7,1,5,2,1
7,4,3,2,1
7,6,2,2,1
7,6,3,1,1
7,3,2,2,1
7,3,3,3,1
3,6,3,2,1
7,3,4,2,1
7,3,4,3,1
7,7,2,1,1
9,4,2,2,1
7,3,4,2,1
9,4,2,2,1
7,2,4,2,1
7,5,3,2,1
7,4,3,2,1
6,6,2,1,1
6,3,4,2,1
7,2,4,2,1
6,6,2,2,1
7,5,3,1,1
7,5,3,2,1
7,3,4,3,1
3,7,4,1,1
7,4,2,2,1
7,7,2,1,1
7,3,4,3,1
3,5,4,2,1
7,5,2,2,1
7,2,5,2,1
7,3,4,2,1
3,3,5,2,1
6,3,4,2,1
7,3,3,3,1
7,3,4,3,1
7,3,4,2,1
7,7,2,1,1
1,7,3,1,1
7,3,4,3,1
7,2,4,2,1
6,6,2,2,1
7,2,4,2,1
7,4,4,2,1
7,3,4,3,1
7,3,4,3,1
7,6,2,2,1
7,2,4,2,1
7,2,5,2,1
7,3,4,2,1
6,5,3,2,1
7,3,4,3,1
7,2,4,2,1
7,3,4,3,1
7,7,2,1,1
3,3,5,2,1
1,7,4,1,1
7,7,2,1,1
7,3,4,3,1
6,5,3,2,1
7,5,3,2,1
7,5,2,2,1
7,3,4,2,1
7,1,5,2,1
7,3,4,2,1
7,2,4,2,1
7,7,2,1,1
7,6,2,2,1
6,6,2,2,1
7,5,3,2,1
3,7,3,1,1
7,2,4,2,1
7,3,4,2,1
6,6,2,2,1
7,6,2,2,1
1,7,3,1,1
7,3,4,2,1
3,5,4,2,1
7,2,4,2,1
6,6,3,2,1
6,6,2,2,1
6,6,2,2,1
7,2,4,3,1
6,2,5,2,1
6,3,4,2,1
1,3,5,2,1
7,3,3,3,1
7,5,3,2,1
6,3,4,2,1
7,7,1,1,1
6,5,3,2,1
6,4,4,2,1
7,3,4,2,1
7,7,2,1,1
7,3,4,2,1
1,7,3,1,1
6,6,3,2,1
1,7,3,1,1
7,7,1,1,1
7,3,3,3,1
7,3,2,2,1
3,6,4,1,1
7,6,2,1,1
3,3,5,2,1
7,3,4,3,1
7,5,3,2,1
3,6,2,1,1
7,5,2,2,1
3,6,2,2,1
7,3,3,2,1
7,2,4,2,1
7,3,4,3,1
7,5,2,2,1
7,5,2,2,1
7,2,4,2,1
7,4,4,2,1
7,3,4,2,1
7,3,4,3,1
7,3,4,3,1
7,2,4,3,1
7,2,4,3,1
9,3,2,2,1
7,2,4,2,1
7,2,5,2,1
7,5,3,2,1
7,5,3,2,1
7,2,4,2,1
7,3,3,2,1
6,4,4,2,1
7,3,3,3,1
4,5,4,2,1
7,2,4,2,1
6,7,3,1,1
7,3,4,2,1
6,4,4,2,1
3,3,5,2,1
3,6,3,2,1
7,2,4,2,1
7,2,4,2,1
7,2,4,2,1
7,3,4,2,1
3,7,4,2,1
3,6,2,2,1
6,1,5,2,1
7,2,4,3,1
3,5,4,2,1
7,6,2,2,1
7,2,4,2,1
7,3,2,3,1
6,3,4,2,1
3,3,5,2,1
6,3,4,2,1
7,2,4,2,1
6,2,4,2,1
7,2,4,2,1
1,7,4,1,1
6,6,2,2,1
3,4,4,2,1
3,5,3,2,1
3,6,2,1,1
7,3,4,2,1
6,5,3,2,1
7,3,4,2,1
7,2,4,2,1
7,2,4,2,1
7,2,4,2,1
1,7,4,1,1
7,5,2,2,1
6,4,4,2,1
3,5,4,2,1
7,2,4,2,1
9,3,2,2,1
6,3,4,2,1
7,7,2,1,1
6,6,2,2,1
6,3,4,2,1
6,7,3,1,1
7,5,3,1,1
7,5,3,2,1
7,2,4,2,1
7,7,2,1,1
7,4,2,2,1
7,7,2,1,1
7,2,4,3,1
6,3,4,2,1
7,5,2,2,1
7,2,4,3,1
7,3,4,3,1
7,2,4,2,1
7,3,2,2,1
7,3,3,2,1
7,2,5,2,1
7,5,2,2,1
7,7,2,1,1
7,3,4,2,1
7,6,2,2,1
6,2,4,2,1
7,5,3,2,1
7,3,2,2,1
7,3,4,3,1
3,2,5,2,1
7,6,2,2,1
6,5,4,2,1
7,2,4,2,1
3,6,4,1,1
1,7,3,1,1
4,3,4,2,1
3,3,5,2,1
7,7,2,2,1
6,6,3,2,1
1,7,4,1,1
7,2,4,2,1
7,3,4,2,1
7,5,3,2,1
3,6,4,1,1
7,5,2,2,1
7,1,5,2,1
1,7,4,1,1
7,2,4,2,1
6,7,3,2,1
7,3,3,3,1
7,6,2,2,1
6,3,4,2,1
7,5,2,2,1
3,5,4,2,1
6,3,5,2,1
6,3,4,2,1
4,5,3,2,1
7,2,5,2,1
7,3,4,3,1
7,3,3,3,1
7,3,4,2,1
7,3,3,3,1
3,6,4,1,1
7,3,3,2,1
2,3,3,2,-1
1,1,5,3,-1
1,1,6,2,-1
1,1,5,3,-1
1,3,4,3,-1
1,3,2,2,-1
3,3,3,2,-1
3,1,4,2,-1
1,1,5,2,-1
1,2,4,2,-1
3,3,3,2,-1
3,3,2,2,-1
1,5,4,1,-1
1,3,3,2,-1
3,2,4,3,-1
1,1,5,2,-1
1,1,6,2,-1
3,3,3,2,-1
5,3,1,1,-1
1,3,3,1,-1
1,3,4,2,-1
1,1,5,2,-1
1,1,5,2,-1
3,2,4,2,-1
6,3,2,2,-1
6,3,1,1,-1
1,5,3,1,-1
1,3,4,2,-1
1,2,4,3,-1
1,1,4,2,-1
7,3,1,2,-1
6,3,1,1,-1
1,6,3,1,-1
1,2,4,2,-1
3,2,3,2,-1
6,3,2,2,-1
6,3,2,2,-1
3,3,2,2,-1
1,3,3,1,-1
1,6,3,1,-1
1,3,4,2,-1
1,3,3,2,-1
3,3,2,2,-1
3,3,2,2,-1
1,3,3,2,-1
1,3,3,2,-1
3,2,4,2,-1
1,1,6,2,-1
1,2,6,2,-1
1,3,3,2,-1
3,3,3,2,-1
1,2,5,2,-1
1,1,6,1,-1
1,1,6,2,-1
1,3,4,2,-1
1,3,3,2,-1
3,3,3,2,-1
1,1,5,2,-1
1,1,6,2,-1
1,1,5,2,-1
1,3,2,2,-1
1,3,2,1,-1
3,3,3,2,-1
1,1,4,2,-1
1,1,5,2,-1
1,2,4,2,-1
3,3,3,2,-1
3,3,2,1,-1
1,5,4,1,-1
1,3,3,2,-1
3,2,4,2,-1
1,1,5,2,-1
1,1,6,2,-1
1,1,4,2,-1
3,3,3,2,-1
3,3,2,1,-1
1,3,3,1,-1
1,3,4,2,-1
1,1,5,2,-1
1,1,5,2,-1
3,2,4,2,-1
6,3,2,2,-1
6,3,1,1,-1
1,3,4,2,-1
1,1,4,2,-1
3,3,2,2,-1
6,3,1,2,-1
3,3,1,1,-1
1,6,3,1,-1
1,3,3,2,-1
1,2,4,2,-1
3,2,3,2,-1
3,3,2,2,-1
6,3,2,2,-1
3,3,2,2,-1
1,3,3,1,-1
1,6,3,1,-1
1,3,4,2,-1
1,3,4,2,-1
1,3,3,2,-1
3,3,2,2,-1
3,3,2,2,-1
1,3,3,2,-1
1,3,4,2,-1
1,2,5,2,-1
1,3,3,2,-1
3,3,3,2,-1
1,2,5,2,-1
1,1,6,1,-1
1,1,6,2,-1
3,3,4,2,-1
1,1,5,3,-1
1,1,6,2,-1
1,1,5,3,-1
3,3,4,3,-1
1,3,2,2,-1
3,3,2,2,-1
3,3,4,2,-1
3,1,5,2,-1
1,1,5,2,-1
3,2,4,3,-1
3,3,3,2,-1
3,3,2,1,-1
1,5,3,1,-1
1,3,3,2,-1
3,2,4,3,-1
1,1,5,2,-1
1,1,6,2,-1
3,2,4,2,-1
6,3,3,2,-1
6,3,2,1,-1
1,3,3,1,-1
3,2,4,2,-1
1,1,5,2,-1
1,1,5,2,-1
7,3,2,2,-1
6,3,1,1,-1
1,4,3,1,-1
1,3,4,2,-1
1,1,5,2,-1
3,2,4,2,-1
6,3,2,2,-1
7,3,1,2,-1
6,3,1,1,-1
1,6,3,1,-1
1,3,4,2,-1
1,2,4,2,-1
6,3,2,2,-1
7,3,2,2,-1
3,3,2,2,-1
1,3,3,1,-1
1,5,4,1,-1
1,3,4,2,-1
1,3,4,2,-1
3,3,2,2,-1
3,3,2,2,-1
3,3,2,2,-1
1,3,3,2,-1
1,3,3,2,-1
3,2,4,2,-1
1,1,6,2,-1
1,2,6,2,-1
1,3,3,2,-1
3,3,3,2,-1
1,1,5,2,-1
1,1,6,2,-1
1,1,6,2,-1
1,3,4,3,-1
3,3,3,2,-1
1,1,5,3,-1
1,1,6,2,-1
1,1,5,3,-1
1,3,4,3,-1
1,3,2,2,-1
3,3,2,1,-1
3,3,3,2,-1
3,1,4,3,-1
1,1,5,2,-1
3,2,4,3,-1
3,3,3,2,-1
3,3,2,2,-1
1,4,4,1,-1
1,3,3,2,-1
3,2,4,2,-1
1,1,5,2,-1
1,1,6,2,-1
1,1,4,2,-1
3,3,3,3,-1
6,3,2,1,-1
1,3,3,1,-1
1,1,5,2,-1
3,2,4,3,-1
6,3,2,2,-1
6,3,1,1,-1
1,5,3,1,-1
1,3,4,2,-1
1,2,4,3,-1
3,1,4,2,-1
6,3,2,3,-1
7,3,1,2,-1
6,3,1,1,-1
1,6,3,1,-1
1,2,4,2,-1
3,2,3,2,-1
6,3,2,2,-1
6,3,2,2,-1
3,3,2,2,-1
1,3,3,1,-1
1,6,3,1,-1
1,3,4,2,-1
1,3,4,2,-1
1,3,3,2,-1
3,3,2,2,-1
3,3,2,2,-1
1,3,3,2,-1
1,3,3,2,-1
1,3,4,2,-1
1,1,6,2,-1
1,2,6,2,-1
1,3,3,2,-1
3,3,3,2,-1
1,1,6,2,-1
1,1,6,2,-1
1,3,4,3,-1
3,3,3,2,-1
3,2,4,2,-1
1,1,6,2,-1
1,1,5,3,-1
1,3,4,3,-1
1,3,2,2,-1
3,3,2,2,-1
3,3,4,2,-1
3,1,5,2,-1
3,2,4,3,-1
3,3,3,2,-1
1,5,3,1,-1
3,2,4,3,-1
1,1,5,2,-1
1,1,6,2,-1
3,2,4,2,-1
3,3,3,2,-1
3,3,2,1,-1
1,3,3,1,-1
3,2,4,2,-1
1,1,5,2,-1
1,1,5,2,-1
3,2,4,3,-1
6,3,2,2,-1
6,3,1,1,-1
1,4,4,1,-1
1,3,4,2,-1
1,1,5,3,-1
3,2,4,3,-1
6,3,2,2,-1
7,3,1,1,-1
3,3,1,1,-1
1,5,3,1,-1
1,3,4,2,-1
1,2,4,3,-1
3,3,3,2,-1
6,3,2,2,-1
6,3,2,2,-1
3,3,2,2,-1
1,5,4,2,-1
1,3,4,2,-1
1,3,4,2,-1
3,3,2,2,-1
3,3,2,2,-1
3,3,2,2,-1
1,3,3,2,-1
1,2,4,2,-1
1,1,6,2,-1
1,2,5,2,-1
1,3,3,2,-1
3,3,3,2,-1
1,1,5,2,-1
1,1,6,2,-1
1,1,6,2,-1
3,3,3,2,-1
3,3,4,3,-1
1,1,5,3,-1
1,1,6,2,-1
1,1,5,3,-1
1,3,2,2,-1
3,3,2,2,-1
4,3,4,2,-1
3,1,5,2,-1
1,1,5,2,-1
3,2,4,3,-1
3,3,3,3,-1
3,3,2,2,-1
1,5,3,1,-1
3,3,3,2,-1
3,2,4,3,-1
1,1,5,2,-1
1,1,6,2,-1
3,2,4,3,-1
6,3,3,3,-1
6,3,1,1,-1
1,3,3,1,-1
1,2,4,2,-1
1,1,5,2,-1
1,1,5,2,-1
6,2,4,3,-1
7,3,2,2,-1
6,3,1,1,-1
1,4,4,1,-1
1,1,5,3,-1
3,2,4,3,-1
6,3,2,3,-1
6,3,1,1,-1
1,6,3,1,-1
1,3,4,2,-1
3,2,3,2,-1
6,3,2,2,-1
6,3,2,2,-1
3,3,2,2,-1
1,3,3,1,-1
1,5,3,1,-1
1,3,4,2,-1
1,3,4,2,-1
3,3,2,2,-1
3,3,2,2,-1
3,3,2,2,-1
1,1,6,2,-1
1,2,6,2,-1
1,3,3,2,-1
3,3,3,2,-1
1,1,5,2,-1
1,1,6,2,-1
1,1,6,2,-1
1,3,4,3,-1
1,3,3,2,-1
3,3,3,2,-1
1,1,5,3,-1
1,1,6,2,-1
1,1,5,3,-1
1,3,4,3,-1
1,3,2,2,-1
1,3,2,1,-1
3,3,3,2,-1
1,1,4,2,-1
1,1,5,2,-1
1,1,4,3,-1
3,3,3,3,-1
3,3,2,2,-1
1,5,4,1,-1
1,3,3,2,-1
1,2,4,2,-1
1,1,5,2,-1
1,1,6,2,-1
1,1,4,2,-1
3,3,3,3,-1
3,3,1,1,-1
1,3,3,1,-1
1,3,4,2,-1
1,1,5,2,-1
1,1,5,2,-1
3,2,4,3,-1
6,3,2,2,-1
6,3,1,1,-1
1,5,3,1,-1
1,3,4,2,-1
1,2,4,2,-1
1,1,4,2,-1
6,3,2,2,-1
7,3,1,2,-1
6,3,1,1,-1
1,6,3,1,-1
1,3,4,2,-1
1,2,4,2,-1
3,2,3,2,-1
6,3,2,2,-1
6,3,2,2,-1
3,3,2,1,-1
1,3,3,1,-1
1,6,3,1,-1
1,3,4,2,-1
1,3,4,2,-1
1,3,3,2,-1
3,3,2,2,-1
3,3,2,2,-1
1,3,3,2,-1
1,1,6,2,-1
1,2,6,2,-1
1,3,3,2,-1
3,3,2,2,-1
1,2,5,2,-1
1,1,6,2,-1
1,1,6,2,-1
1,3,4,3,-1
1,3,3,2,-1
3,3,3,2,-1
1,1,5,2,-1
1,1,5,2,-1
1,3,2,2,-1
1,1,4,2,-1
1,1,4,2,-1
1,5,4,1,-1
1,3,3,2,-1
1,2,4,2,-1
1,1,5,2,-1
1,1,6,2,-1
1,1,4,2,-1
3,3,3,2,-1
3,3,2,1,-1
1,3,4,2,-1
1,1,5,2,-1
1,1,5,2,-1
3,2,4,2,-1
6,3,2,2,-1
6,3,1,1,-1
1,5,3,1,-1
1,3,4,2,-1
3,3,2,2,-1
6,3,1,2,-1
3,3,1,1,-1
1,7,3,1,-1
1,3,4,2,-1
1,2,4,2,-1
6,3,2,2,-1
3,3,2,1,-1
1,3,3,1,-1
1,6,3,1,-1
1,3,4,2,-1
1,3,4,2,-1
1,3,3,2,-1
3,3,2,2,-1
3,3,2,2,-1
1,3,3,2,-1
1,3,3,2,-1
1,3,4,2,-1
1,2,5,2,-1
1,2,5,2,-1
1,3,3,2,-1
3,3,3,2,-1
1,2,5,2,-1
1,1,6,2,-1
1,1,6,2,-1
1,3,4,2,-1
1,3,3,2,-1
3,3,3,2,-1
1,1,5,2,-1
1,1,6,2,-1
1,1,5,2,-1
1,3,2,2,-1
3,3,3,2,-1
1,2,4,2,-1
1,1,5,2,-1
1,2,4,2,-1
3,3,3,2,-1
3,3,2,1,-1
1,5,4,1,-1
1,3,3,2,-1
1,2,4,2,-1
1,1,5,2,-1
1,1,6,1,-1
3,3,3,2,-1
3,3,1,1,-1
1,3,3,1,-1
1,3,4,2,-1
1,1,5,2,-1
3,2,4,2,-1
1,5,3,1,-1
1,2,4,2,-1
1,1,4,2,-1
3,3,2,2,-1
6,3,1,2,-1
3,3,1,1,-1
1,6,3,1,-1
1,3,4,2,-1
1,2,4,2,-1
1,2,3,2,-1
3,3,2,2,-1
6,3,2,2,-1
3,3,2,1,-1
1,3,3,1,-1
1,6,3,1,-1
1,3,4,2,-1
1,3,4,2,-1
1,3,3,2,-1
3,3,2,2,-1
3,3,2,2,-1
1,3,3,2,-1
1,3,3,2,-1
1,2,5,2,-1
1,2,5,2,-1
3,3,3,2,-1
1,2,4,2,-1
1,1,6,1,-1
1,1,6,2,-1
1,3,4,2,-1
3,3,3,2,-1
6,3,3,2,-1
1,1,6,2,-1
1,1,5,3,-1
1,3,4,3,-1
3,3,2,2,-1
3,3,2,2,-1
6,3,3,2,-1
3,1,4,2,-1
1,1,5,2,-1
3,1,4,3,-1
3,3,3,3,-1
3,3,2,2,-1
1,4,4,1,-1
3,3,3,2,-1
3,2,4,3,-1
3,1,5,2,-1
1,1,6,2,-1
3,1,4,2,-1
3,3,3,3,-1
6,3,1,1,-1
1,3,3,1,-1
3,3,4,2,-1
1,1,5,2,-1
1,1,5,2,-1
3,2,4,3,-1
6,3,2,3,-1
6,3,1,1,-1
1,5,3,1,-1
1,3,4,2,-1
3,1,4,2,-1
6,3,2,3,-1
7,3,1,2,-1
6,3,1,1,-1
1,6,3,1,-1
1,3,4,2,-1
1,2,4,3,-1
3,2,3,2,-1
6,3,2,2,-1
6,3,2,2,-1
3,3,2,2,-1
1,3,3,1,-1
1,6,3,1,-1
1,3,4,2,-1
1,3,4,2,-1
3,3,3,2,-1
3,3,2,2,-1
3,3,2,2,-1
1,3,3,2,-1
1,3,3,2,-1
1,1,6,2,-1
1,2,6,2,-1
1,3,3,2,-1
4,3,3,2,-1
3,2,5,2,-1
1,1,6,2,-1
1,1,6,2,-1
